id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,dequeue_task_fair,3.4760000000000004,4.99,2.32,1.028751670715533,5,382.171741,0.013083123275721215
2-39-89-25,attack,branch,___slab_alloc,3.957175572519085,10.87,0.03,2.687817322893214,131,382.171741,0.3427778298238959
2-39-89-25,attack,branch,intel_pmu_hw_config.part.0,3.775625,7.98,1.34,1.6293760308780783,16,382.171741,0.04186599448230789
2-39-89-25,attack,branch,ctx_sched_in,5.199200000000002,30.25,2.44,4.847432663644898,50,382.171741,0.13083123275721215
2-39-89-25,attack,branch,__mod_memcg_lruvec_state,3.35125,6.2,2.22,1.3054986731951457,8,382.171741,0.020932997241153946
2-39-89-25,attack,branch,psi_task_switch,3.0804,26.97,0.03,3.686334703792791,125,382.171741,0.3270780818930304
2-39-89-25,attack,branch,inherit_task_group.isra.0,3.322676056338028,12.68,0.01,2.309323931832171,71,382.171741,0.18578035051524125
2-39-89-25,attack,branch,psi_group_change,10.306628571428572,95.91,0.18,8.803015734514172,350,382.171741,0.9158186293004851
2-39-89-25,attack,branch,switch_fpu_return,2.4139999999999993,3.32,2.38,0.1632068337669574,35,382.171741,0.09158186293004851
2-39-89-25,attack,branch,perf_event_groups_first,4.425421686746988,34.3,0.51,7.172468585688928,83,382.171741,0.21717984637697219
2-39-89-25,attack,branch,x86_reserve_hardware,3.000344827586207,4.15,0.0,1.4437961239139399,58,382.171741,0.1517642299983661
2-39-89-25,attack,branch,clear_page_erms,2.5399999999999996,3.01,2.23,0.41388404173149745,3,382.171741,0.007849873965432729
2-39-89-25,attack,branch,dequeue_task,6.184782608695652,24.9,1.52,5.673804935895566,23,382.171741,0.060182367068317595
2-39-89-25,attack,branch,obj_cgroup_charge_pages,4.479666666666666,23.54,0.38,4.367635265918153,30,382.171741,0.0784987396543273
2-39-89-25,attack,branch,sched_clock_cpu,4.710999999999999,8.81,1.82,1.992445997419147,20,382.171741,0.05233249310288486
2-39-89-25,attack,branch,x86_pmu_event_init,3.569571428571429,23.18,0.3,3.1493677468611008,70,382.171741,0.18316372586009702
2-39-89-25,attack,branch,intel_pmu_event_map,2.8940425531914897,16.64,1.99,2.4223575110196522,47,382.171741,0.12298135879177943
2-39-89-25,attack,branch,perf_pmu_nop_int,6.101333333333334,21.65,1.53,5.368239121384946,30,382.171741,0.0784987396543273
2-39-89-25,attack,branch,__update_load_avg_cfs_rq,2.292361111111111,4.97,0.01,1.0112765507655783,72,382.171741,0.1883969751703855
2-39-89-25,attack,branch,visit_groups_merge.constprop.0.is,4.5858620689655165,19.04,1.98,3.356524049456712,29,382.171741,0.07588211499918306
2-39-89-25,attack,branch,__update_load_avg_se,2.6556999999999995,10.28,0.03,2.1148867510334854,100,382.171741,0.2616624655144243
2-39-89-25,attack,branch,memcg_slab_free_hook,4.421176470588233,23.89,0.02,3.6589472822598736,119,382.171741,0.3113783339621649
2-39-89-25,attack,branch,update_sg_wakeup_stats,4.745679012345678,21.48,0.08,4.735211700196625,81,382.171741,0.2119465970666837
2-39-89-25,attack,branch,arch_perf_update_userpage,3.306,4.44,2.36,0.8533639317430755,5,382.171741,0.013083123275721215
2-39-89-25,attack,branch,perf_event_update_userpage,4.226372549019608,14.51,0.0,2.6811844542393626,102,382.171741,0.2668957148247128
2-39-89-25,attack,branch,kmem_cache_alloc_node,4.839937888198758,33.33,0.24,4.866054548719943,161,382.171741,0.4212765694782232
2-39-89-25,attack,branch,iterate_groups,2.958253968253968,4.49,0.0,1.397578019845969,63,382.171741,0.1648473532740873
2-39-89-25,attack,branch,perf_init_event,4.503050847457626,11.47,0.16,2.3844505289387254,59,382.171741,0.15438085465351034
2-39-89-25,attack,branch,account_event,3.776,33.04,0.01,5.12764955900849,65,382.171741,0.1700806025843758
2-39-89-25,attack,branch,update_curr,7.021818181818179,25.36,0.73,6.812206576547604,22,382.171741,0.057565742413173346
2-39-89-25,attack,branch,futex_wait,1.8372549019607844,3.11,0.09,0.3480119448028904,51,382.171741,0.1334478574123564
2-39-89-25,attack,branch,perf_swevent_add,2.5312195121951215,3.12,0.05,1.1939036709926627,41,382.171741,0.10728161086091396
2-39-89-25,attack,branch,memcpy_erms,3.33625,6.06,1.85,1.4544212152703806,8,382.171741,0.020932997241153946
2-39-89-25,attack,branch,timerqueue_add,4.131666666666667,7.0,2.3,1.767002169400668,6,382.171741,0.015699747930865458
2-39-89-25,attack,branch,slab_free_freelist_hook.constprop,5.57,10.55,2.91,3.033438642860607,5,382.171741,0.013083123275721215
2-39-89-25,attack,branch,hsw_get_event_constraints,4.004769230769231,18.21,0.02,5.179154162268049,65,382.171741,0.1700806025843758
2-39-89-25,attack,branch,update_rq_clock,3.5723333333333334,4.76,0.0,1.809654304160044,60,382.171741,0.1569974793086546
2-39-89-25,attack,branch,rb_next,3.6064238410596023,14.74,0.01,2.529321738957136,151,382.171741,0.3951103229267807
2-39-89-25,attack,branch,mutex_lock,2.391282051282052,11.33,1.74,1.5496747534537176,78,382.171741,0.20409672310125096
2-39-89-25,attack,branch,memset_erms,5.2734482758620675,30.49,0.91,6.167882408008016,29,382.171741,0.07588211499918306
2-39-89-25,attack,branch,allocate_fake_cpuc,4.937747747747748,22.48,0.1,4.637012299214128,111,382.171741,0.29044533672101097
2-39-89-25,attack,branch,__srcu_read_unlock,3.9874509803921567,9.85,1.82,1.6650031148766737,51,382.171741,0.1334478574123564
2-39-89-25,attack,branch,list_add_event,2.5775675675675673,4.68,2.43,0.4902460006375789,37,382.171741,0.096815112240337
2-39-89-25,attack,branch,perf_event_alloc,4.284285714285714,25.36,0.01,3.56137319955071,203,382.171741,0.5311748049942814
2-39-89-25,attack,branch,inherit_event.constprop.0,5.5636403508771926,28.5,0.01,5.080862720505257,228,382.171741,0.5965904213728874
2-39-89-25,attack,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,382.171741,0.0026166246551442432
2-39-89-25,attack,branch,calc_timer_values,3.37,5.42,2.12,1.1743508845315356,7,382.171741,0.018316372586009703
2-39-89-25,attack,branch,__schedule,7.942962962962963,19.48,1.27,5.9221044952298545,27,382.171741,0.07064886568889457
2-39-89-25,attack,branch,_raw_spin_lock_irqsave,6.663809523809526,10.17,1.82,1.9423470243069125,42,382.171741,0.10989823551605821
2-39-89-25,attack,branch,merge_sched_in,3.838176100628931,7.69,0.01,2.479966786054106,159,382.171741,0.41604332016793466
2-39-89-25,attack,branch,event_sched_in,5.164293478260869,14.96,0.0,3.8435351357349856,184,382.171741,0.48145893654654076
2-39-89-25,attack,branch,check_preempt_wakeup,3.5050000000000003,11.17,0.63,2.988988486748158,24,382.171741,0.06279899172346183
2-39-89-25,attack,branch,_raw_spin_lock,2.738,3.28,1.92,0.5379776947049012,5,382.171741,0.013083123275721215
2-39-89-25,attack,branch,x86_get_event_constraints,3.648457446808511,34.33,0.05,5.162903078311712,188,382.171741,0.49192543516711773
2-39-89-25,attack,branch,__perf_event_task_sched_in,3.795483870967741,14.51,0.96,3.440427142773291,31,382.171741,0.08111536430947154
2-39-89-25,attack,branch,should_failslab,4.564065934065934,23.2,0.08,3.940441311444411,91,382.171741,0.23811284361812612
2-39-89-25,attack,branch,kmem_cache_alloc_trace,3.7773170731707317,14.89,0.01,3.1935570571588467,123,382.171741,0.3218448325827419
2-39-89-25,attack,branch,perf_iterate_ctx,2.7945312500000004,4.12,0.01,1.2226356252063857,64,382.171741,0.16746397792923157
