id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,__copy_skb_header,1.6554545454545455,2.62,1.11,0.4889859637323679,11,382.171741,0.028782871206586673
GS_1,attack,branch,dequeue_task_fair,1.6670833333333335,2.92,1.14,0.4326810168228329,24,382.171741,0.06279899172346183
GS_1,attack,branch,tcp_recvmsg_locked,2.0309210526315793,4.22,1.11,0.6628447332150095,76,382.171741,0.19886347379096248
GS_1,attack,branch,inet_sendmsg,1.6500000000000001,1.79,1.49,0.15099668870541502,3,382.171741,0.007849873965432729
GS_1,attack,branch,finish_task_switch.isra.0,1.4283333333333335,1.78,1.18,0.21470134295496773,6,382.171741,0.015699747930865458
GS_1,attack,branch,__lock_text_start,1.5610000000000002,1.92,1.31,0.16468488428241101,10,382.171741,0.02616624655144243
GS_1,attack,branch,enqueue_task_fair,1.6199999999999999,1.84,1.33,0.26210684844162313,3,382.171741,0.007849873965432729
GS_1,attack,branch,ctx_sched_in,1.867636363636363,3.27,1.06,0.5420228355048837,55,382.171741,0.14391435603293337
GS_1,attack,branch,__sk_dst_check,1.8737499999999998,2.61,1.33,0.3986741419111245,8,382.171741,0.020932997241153946
GS_1,attack,branch,xmit_one.constprop.0,1.654,2.12,1.25,0.335454915003492,5,382.171741,0.013083123275721215
GS_1,attack,branch,ip_output,1.71,2.52,1.22,0.36963946398258574,13,382.171741,0.03401612051687516
GS_1,attack,branch,apparmor_socket_sock_rcv_skb,1.7133333333333336,1.87,1.54,0.16563010998406463,3,382.171741,0.007849873965432729
GS_1,attack,branch,jiffies_to_usecs,2.065,2.45,1.75,0.3022691956959338,4,382.171741,0.010466498620576973
GS_1,attack,branch,mod_timer,1.89,2.44,1.44,0.3814708376796318,6,382.171741,0.015699747930865458
GS_1,attack,branch,tcp_v4_inbound_md5_hash,1.645,2.05,1.12,0.3130495168499705,8,382.171741,0.020932997241153946
GS_1,attack,branch,tcp_v4_rcv,2.5098780487804877,8.11,1.09,1.5082927098294088,82,382.171741,0.21456322172182793
GS_1,attack,branch,tcp_options_write,1.7463636363636368,2.45,1.27,0.3848706984760656,11,382.171741,0.028782871206586673
GS_1,attack,branch,ipv4_mtu,1.06,1.06,1.06,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,sk_stream_alloc_skb,1.649375,2.33,1.13,0.34570640240913486,16,382.171741,0.04186599448230789
GS_1,attack,branch,select_idle_cpu,1.305,1.38,1.23,0.10606601717798207,2,382.171741,0.0052332493102884865
GS_1,attack,branch,tcp_check_space,1.3333333333333333,1.51,1.17,0.17039170558842748,3,382.171741,0.007849873965432729
GS_1,attack,branch,psi_task_switch,1.7149999999999999,3.08,1.16,0.586128541078377,16,382.171741,0.04186599448230789
GS_1,attack,branch,neigh_hh_output,1.7284210526315789,3.06,1.16,0.49290384082654987,38,382.171741,0.09943173689548124
GS_1,attack,branch,rb_erase,3.4585,19.26,1.22,4.4700703809365585,20,382.171741,0.05233249310288486
GS_1,attack,branch,calc_wheel_index,1.31,1.46,1.16,0.21213203435596428,2,382.171741,0.0052332493102884865
GS_1,attack,branch,tcp_update_skb_after_send,1.3,1.49,1.11,0.18999999999999995,3,382.171741,0.007849873965432729
GS_1,attack,branch,__tcp_push_pending_frames,1.37,1.37,1.37,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,psi_group_change,10.971476323119777,19.38,4.57,2.8858472403834723,359,382.171741,0.9393682511967832
GS_1,attack,branch,tcp_event_data_recv,1.3900000000000001,1.6,1.18,0.1899122604432549,4,382.171741,0.010466498620576973
GS_1,attack,branch,enqueue_timer,1.9799999999999998,3.09,1.16,0.5812056434688155,12,382.171741,0.031399495861730915
GS_1,attack,branch,tcp_rtt_estimator,1.3871428571428572,1.9,1.13,0.22137432869823323,14,382.171741,0.03663274517201941
GS_1,attack,branch,switch_fpu_return,1.6049999999999998,1.88,1.42,0.17096783323186848,6,382.171741,0.015699747930865458
GS_1,attack,branch,sock_poll,1.31,1.31,1.31,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,perf_event_groups_first,1.6860344827586204,3.5,1.06,0.5147199533426171,58,382.171741,0.1517642299983661
GS_1,attack,branch,ip_local_out,2.248947368421052,5.46,1.18,0.9260225596273741,38,382.171741,0.09943173689548124
GS_1,attack,branch,security_socket_sendmsg,1.2933333333333334,1.49,1.1,0.19502136635080095,3,382.171741,0.007849873965432729
GS_1,attack,branch,__skb_clone,1.2,1.3,1.12,0.09165151389911678,3,382.171741,0.007849873965432729
GS_1,attack,branch,tcp_recvmsg,1.47,1.76,1.16,0.27410460290431704,4,382.171741,0.010466498620576973
GS_1,attack,branch,tcp_send_ack,1.4,1.4,1.4,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,lock_sock_nested,1.5799999999999998,1.92,1.26,0.2602883016964074,5,382.171741,0.013083123275721215
GS_1,attack,branch,dequeue_entity,1.926111111111111,3.01,1.1,0.5578650362702526,18,382.171741,0.047099243792596376
GS_1,attack,branch,remove_wait_queue,1.51,1.51,1.51,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,dev_hard_start_xmit,1.8199999999999998,2.59,1.14,0.5226853738148792,8,382.171741,0.020932997241153946
GS_1,attack,branch,sockfd_lookup_light,2.2576923076923077,3.53,1.4,0.5751125642328304,26,382.171741,0.06803224103375032
GS_1,attack,branch,dequeue_task,1.25,1.25,1.25,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,__tcp_send_ack.part.0,1.795,2.56,1.39,0.44474711915874177,8,382.171741,0.020932997241153946
GS_1,attack,branch,tcp_clean_rtx_queue.constprop.0,2.4417816091954023,16.32,1.1,1.4921221797924629,174,382.171741,0.4552926899950983
GS_1,attack,branch,__check_object_size,1.68,1.88,1.48,0.28284271247461895,2,382.171741,0.0052332493102884865
GS_1,attack,branch,sched_clock_cpu,1.7917391304347827,3.32,1.21,0.5509549740216613,23,382.171741,0.060182367068317595
GS_1,attack,branch,wake_affine,1.255,1.39,1.04,0.15673757260678328,4,382.171741,0.010466498620576973
GS_1,attack,branch,rcu_all_qs,1.79,2.17,1.48,0.2972092416687835,4,382.171741,0.010466498620576973
GS_1,attack,branch,__update_load_avg_blocked_se,1.73,1.88,1.58,0.21213203435596414,2,382.171741,0.0052332493102884865
GS_1,attack,branch,ttwu_queue_wakelist,1.5775000000000001,1.81,1.36,0.20467453839368163,4,382.171741,0.010466498620576973
GS_1,attack,branch,__netif_receive_skb,1.7774999999999999,2.55,1.25,0.502330284061905,8,382.171741,0.020932997241153946
GS_1,attack,branch,nf_hook_slow,1.5475,1.67,1.35,0.14476993242152636,4,382.171741,0.010466498620576973
GS_1,attack,branch,do_poll.constprop.0,1.758888888888889,2.57,1.18,0.45139905971447375,9,382.171741,0.023549621896298188
GS_1,attack,branch,__sys_recvfrom,1.8381249999999998,2.36,1.28,0.3360400521763241,16,382.171741,0.04186599448230789
GS_1,attack,branch,tcp_skb_entail,1.6946153846153844,2.22,1.08,0.33836901415996967,13,382.171741,0.03401612051687516
GS_1,attack,branch,eth_type_trans,2.2263636363636365,4.52,1.31,0.8393679337087688,22,382.171741,0.057565742413173346
GS_1,attack,branch,__softirqentry_text_start,2.1659999999999995,4.13,1.43,0.7374236802615756,20,382.171741,0.05233249310288486
GS_1,attack,branch,_copy_from_iter,1.6,1.65,1.55,0.07071067811865465,2,382.171741,0.0052332493102884865
GS_1,attack,branch,tcp_sendmsg,1.52,1.68,1.36,0.2262741699796951,2,382.171741,0.0052332493102884865
GS_1,attack,branch,__ip_queue_xmit,1.9928571428571429,4.95,1.06,0.742796038795018,84,382.171741,0.21979647103211641
GS_1,attack,branch,tcp_small_queue_check.isra.0,1.3599999999999999,1.42,1.3,0.08485281374238562,2,382.171741,0.0052332493102884865
GS_1,attack,branch,perf_pmu_nop_int,2.2292307692307696,4.75,1.08,0.7968956864249769,91,382.171741,0.23811284361812612
GS_1,attack,branch,__update_load_avg_cfs_rq,1.99575,3.87,1.13,0.6262845533558623,80,382.171741,0.20932997241153944
GS_1,attack,branch,__local_bh_enable_ip,2.3265517241379317,5.0,1.12,0.9375435460747671,58,382.171741,0.1517642299983661
GS_1,attack,branch,ip_rcv_finish_core.constprop.0,1.6036363636363633,2.25,1.14,0.32803270346941715,11,382.171741,0.028782871206586673
GS_1,attack,branch,raw_local_deliver,1.29,1.31,1.27,0.028284271247461926,2,382.171741,0.0052332493102884865
GS_1,attack,branch,__fget_light,2.8800000000000003,3.75,1.96,0.705407683541936,6,382.171741,0.015699747930865458
GS_1,attack,branch,tcp_rearm_rto,1.8472727272727276,2.72,1.12,0.45808277291317867,22,382.171741,0.057565742413173346
GS_1,attack,branch,visit_groups_merge.constprop.0.is,2.6736363636363634,14.48,1.08,1.426246676255402,253,382.171741,0.6620060377514935
GS_1,attack,branch,psi_task_change,1.7921052631578946,3.36,1.01,0.5283843702024628,38,382.171741,0.09943173689548124
GS_1,attack,branch,__update_load_avg_se,2.0116,5.58,1.09,0.797611366451038,75,382.171741,0.19624684913581825
GS_1,attack,branch,tcp_rack_update_reo_wnd,1.557,1.9,1.21,0.1998360439071101,10,382.171741,0.02616624655144243
GS_1,attack,branch,tcp_mtu_probe,1.6333333333333335,1.92,1.15,0.42099089459670425,3,382.171741,0.007849873965432729
GS_1,attack,branch,__check_object_size.part.0,1.7826470588235295,2.81,1.13,0.41722248133397755,34,382.171741,0.08896523827490427
GS_1,attack,branch,dst_release,1.88,3.06,1.25,0.5918107805709524,11,382.171741,0.028782871206586673
GS_1,attack,branch,prepare_task_switch,2.9584374999999996,15.11,1.41,2.729134459713107,32,382.171741,0.08373198896461578
GS_1,attack,branch,lapic_next_deadline,1.15,1.15,1.15,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,memcg_slab_free_hook,2.0112698412698413,3.69,1.1,0.6143958271854373,63,382.171741,0.1648473532740873
GS_1,attack,branch,tcp_v4_do_rcv,1.7666666666666666,1.87,1.7,0.09073771725877475,3,382.171741,0.007849873965432729
GS_1,attack,branch,migrate_disable,1.613,1.95,1.21,0.2475232873443987,10,382.171741,0.02616624655144243
GS_1,attack,branch,qdisc_pkt_len_init,1.17,1.17,1.17,nan,1,382.171741,0.0026166246551442432
GS_1,attack,branch,kmem_cache_free,1.8698684210526317,5.54,1.05,0.7581881796687902,76,382.171741,0.19886347379096248
GS_1,attack,branch,validate_xmit_xfrm,1.919375,3.25,1.32,0.5404870488735137,16,382.171741,0.04186599448230789
GS_1,attack,branch,tcp_rate_skb_delivered,1.69,1.78,1.6,0.12727922061357852,2,382.171741,0.0052332493102884865
GS_1,attack,branch,arch_perf_update_userpage,2.372464454976303,5.84,1.14,0.9165845464949709,211,382.171741,0.5521078022354353
GS_1,attack,branch,sock_rfree,1.477142857142857,1.86,1.15,0.26240644591385875,7,382.171741,0.018316372586009703
GS_1,attack,branch,loopback_xmit,1.4825,2.09,1.19,0.2931966672973717,8,382.171741,0.020932997241153946
GS_1,attack,branch,perf_pmu_nop_txn,2.165714285714286,4.23,1.2,0.7876614640888445,28,382.171741,0.07326549034403881
