id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,normal,branch,__srcu_read_lock,1.9022222222222223,2.73,1.45,0.3602377573631967,18,53.209588,0.3382848970753166
2-39-89-25,normal,branch,perf_event_update_userpage,2.9818181818181824,7.85,1.93,1.321494955627496,22,53.209588,0.41345931864760915
2-39-89-25,normal,branch,perf_event_alloc,10.549999999999999,20.0,4.39,8.30879654342312,3,53.209588,0.05638081617921943
2-39-89-25,normal,branch,inherit_event.constprop.0,2.1199999999999997,2.56,1.66,0.3471130939621841,17,53.209588,0.31949129168224344
2-39-89-25,normal,branch,merge_sched_in,2.1199999999999997,2.56,1.66,0.3471130939621841,17,53.209588,0.31949129168224344
2-39-89-25,normal,branch,perf_event_groups_insert,4.3109090909090915,5.07,3.7,0.6458398337893777,11,53.209588,0.20672965932380458
2-39-89-25,normal,branch,psi_group_change,12.151818181818179,16.83,4.6,2.704542275089987,22,53.209588,0.41345931864760915
2-39-89-25,normal,branch,event_sched_in,8.011818181818184,12.61,4.32,2.898434119713668,22,53.209588,0.41345931864760915
2-39-89-25,normal,branch,x86_pmu_disable,2.39,2.64,2.14,0.3535533905932738,2,53.209588,0.03758721078614629
2-39-89-25,normal,branch,visit_groups_merge.constprop.0.is,2.433333333333333,3.09,1.88,0.6115826463637873,3,53.209588,0.05638081617921943
2-39-89-25,attack,cycles,syscall_exit_to_user_mode,12.76,18.7,9.79,5.1441908984795655,3,29.238053,0.10260601141943343
2-39-89-25,attack,cycles,native_write_msr,100.0,100.0,100.0,nan,1,29.238053,0.03420200380647781
2-39-89-25,normal,cycles,native_write_msr,1.9649999999999999,3.1,0.0,1.3562325267691624,4,53.209588,0.07517442157229258
2-39-89-25,normal,cycles,syscall_return_via_sysret,3.3577777777777778,5.35,2.0,0.9358202162403754,18,53.209588,0.3382848970753166
2-39-89-25,normal,instructions,slab_free_freelist_hook.constprop,4.8133333333333335,6.86,3.15,1.884471632403453,3,53.209588,0.05638081617921943
2-39-89-25,normal,instructions,__srcu_read_lock,2.402105263157895,4.12,1.71,0.672694242475472,19,53.209588,0.35707850246838974
2-39-89-25,normal,instructions,perf_event_update_userpage,7.266666666666666,10.43,2.71,2.266468351395798,12,53.209588,0.22552326471687772
2-39-89-25,normal,instructions,iterate_groups,6.333333333333333,9.13,3.87,2.645795406552316,3,53.209588,0.05638081617921943
2-39-89-25,normal,instructions,event_sched_in,2.8000000000000003,5.06,2.35,0.8337025848586531,11,53.209588,0.20672965932380458
2-39-89-25,normal,instructions,kfree,3.691333333333332,4.83,2.91,0.8203907315303801,15,53.209588,0.28190408089609714
2-39-139-28,normal,branch,__srcu_read_lock,6.34,8.19,3.95,1.5369124893760215,5,53.209588,0.09396802696536573
2-39-139-28,normal,branch,perf_event_update_userpage,5.2299999999999995,6.7,3.94,1.388776439892325,3,53.209588,0.05638081617921943
2-39-139-28,normal,branch,perf_event_alloc,3.5257142857142862,5.45,0.72,1.0380192838350575,35,53.209588,0.65777618875756
2-39-139-28,normal,branch,inherit_event.constprop.0,4.911842105263157,10.82,0.69,3.3736593775923898,38,53.209588,0.7141570049367795
2-39-139-28,normal,branch,merge_sched_in,7.463846153846153,15.19,3.6,2.5488476399145505,39,53.209588,0.7329506103298526
2-39-139-28,normal,branch,perf_event_groups_insert,5.413199999999998,10.48,0.92,2.172114407668252,25,53.209588,0.4698401348268286
2-39-139-28,normal,branch,psi_group_change,12.002051282051282,30.83,1.53,7.3243897462652585,39,53.209588,0.7329506103298526
2-39-139-28,normal,branch,event_sched_in,4.29942857142857,8.23,2.02,1.4881372937474613,35,53.209588,0.65777618875756
2-39-139-28,normal,branch,x86_pmu_disable,1.8658823529411763,1.91,1.16,0.18190171877724973,17,53.209588,0.31949129168224344
2-39-139-28,normal,branch,visit_groups_merge.constprop.0.is,3.7918421052631586,14.01,0.55,2.9628655370454573,38,53.209588,0.7141570049367795
2-39-139-28,attack,cycles,syscall_exit_to_user_mode,6.875,8.18,5.57,1.8455486988968888,2,29.238053,0.06840400761295562
2-39-139-28,attack,cycles,native_write_msr,0.0,0.0,0.0,nan,1,29.238053,0.03420200380647781
2-39-139-28,normal,cycles,native_write_msr,0.0,0.0,0.0,nan,1,53.209588,0.018793605393073145
2-39-139-28,normal,cycles,syscall_return_via_sysret,25.0,25.0,25.0,0.0,30,53.209588,0.5638081617921943
2-39-139-28,attack,instructions,__intel_pmu_enable_all.constprop.,0.0,0.0,0.0,nan,1,29.238053,0.03420200380647781
2-39-139-28,attack,instructions,intel_pmu_enable_all,0.0,0.0,0.0,0.0,2,29.238053,0.06840400761295562
2-39-139-28,normal,instructions,slab_free_freelist_hook.constprop,11.473125,32.37,4.89,7.126562255627417,16,53.209588,0.3006976862891703
2-39-139-28,normal,instructions,__srcu_read_lock,27.72,27.72,27.72,0.0,3,53.209588,0.05638081617921943
2-39-139-28,normal,instructions,perf_event_update_userpage,11.473125,32.37,4.89,7.126562255627417,16,53.209588,0.3006976862891703
2-39-139-28,normal,instructions,iterate_groups,6.264687500000001,11.14,0.59,4.989858091184687,32,53.209588,0.6013953725783406
2-39-139-28,normal,instructions,event_sched_in,11.5365625,16.42,1.77,3.958606474729991,32,53.209588,0.6013953725783406
2-39-139-28,normal,instructions,kfree,6.264687500000001,11.14,0.59,4.989858091184687,32,53.209588,0.6013953725783406
2-39-131-30,normal,branch,__srcu_read_lock,5.74235294117647,9.86,2.26,2.5116591364369207,17,53.209588,0.31949129168224344
2-39-131-30,normal,branch,perf_event_update_userpage,6.1745833333333335,15.44,1.88,5.050614236572288,24,53.209588,0.45104652943375545
2-39-131-30,normal,branch,perf_event_alloc,5.906000000000001,12.5,2.48,4.032713726512211,5,53.209588,0.09396802696536573
2-39-131-30,normal,branch,inherit_event.constprop.0,3.4699999999999998,12.5,0.66,2.5049962977243903,32,53.209588,0.6013953725783406
2-39-131-30,normal,branch,merge_sched_in,9.06516129032258,19.03,4.7,4.002976285188928,31,53.209588,0.5826017671852675
2-39-131-30,normal,branch,perf_event_groups_insert,5.6715625,12.5,1.25,3.08407262097565,32,53.209588,0.6013953725783406
2-39-131-30,normal,branch,psi_group_change,12.314687499999998,27.83,2.86,7.98768527348354,32,53.209588,0.6013953725783406
2-39-131-30,normal,branch,event_sched_in,3.969677419354839,7.69,0.98,2.1442131173167276,31,53.209588,0.5826017671852675
2-39-131-30,normal,branch,x86_pmu_disable,12.85,20.37,10.05,4.504504412252251,6,53.209588,0.11276163235843886
2-39-131-30,normal,branch,visit_groups_merge.constprop.0.is,3.965333333333333,8.48,0.91,2.173398313674937,30,53.209588,0.5638081617921943
2-39-131-30,attack,cycles,syscall_exit_to_user_mode,3.6366666666666667,4.9,2.63,1.1565609942122959,3,29.238053,0.10260601141943343
2-39-131-30,attack,cycles,native_write_msr,100.0,100.0,100.0,nan,1,29.238053,0.03420200380647781
2-39-131-30,normal,cycles,native_write_msr,2.9125,5.19,0.0,1.5416387384857713,8,53.209588,0.15034884314458516
2-39-131-30,normal,cycles,syscall_return_via_sysret,4.617931034482758,12.42,2.1,2.129973808206411,29,53.209588,0.5450145563991212
2-39-131-30,attack,instructions,__intel_pmu_enable_all.constprop.,0.02,0.02,0.02,0.0,3,29.238053,0.10260601141943343
2-39-131-30,attack,instructions,intel_pmu_enable_all,100.0,100.0,100.0,nan,1,29.238053,0.03420200380647781
2-39-131-30,normal,instructions,slab_free_freelist_hook.constprop,3.186,4.52,2.05,0.9797601747366546,5,53.209588,0.09396802696536573
2-39-131-30,normal,instructions,__srcu_read_lock,2.556,3.35,1.83,0.6016477374676981,5,53.209588,0.09396802696536573
