id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,select_estimate_accuracy,2.836666666666667,8.84,1.42,1.8191185524017688,27,29.238053,0.9234541027749009
GS_1,attack,branch,dequeue_task_fair,1.6442500000000002,4.19,0.35,0.7201296912028404,80,29.238053,2.736160304518225
GS_1,attack,branch,enqueue_hrtimer,1.5499999999999998,1.87,1.39,0.17527121840165324,6,29.238053,0.20521202283886686
GS_1,attack,branch,tcp_recvmsg_locked,3.789722222222222,10.87,1.15,2.2450319579158537,36,29.238053,1.2312721370332012
GS_1,attack,branch,finish_task_switch.isra.0,1.7094117647058824,2.57,1.12,0.3998667057319741,17,29.238053,0.5814340647101228
GS_1,attack,branch,do_sys_poll,2.390188679245283,5.6,0.96,0.8811650735205366,53,29.238053,1.812706201743324
GS_1,attack,branch,perf_exclude_event,1.4649999999999999,1.76,1.17,0.41719300090006306,2,29.238053,0.06840400761295562
GS_1,attack,branch,__lock_text_start,1.9255555555555555,3.01,1.13,0.6500598263066082,9,29.238053,0.3078180342583003
GS_1,attack,branch,ctx_sched_in,2.943333333333333,12.85,0.42,1.6115308780266466,129,29.238053,4.412058491035638
GS_1,attack,branch,ip_output,2.9210000000000003,5.35,1.22,1.30087534632134,10,29.238053,0.3420200380647781
GS_1,attack,branch,tcp_v4_rcv,5.485,9.83,2.07,2.2983327290306192,16,29.238053,0.547232060903645
GS_1,attack,branch,psi_flags_change,3.371176470588235,7.6,1.24,2.2737960615261352,17,29.238053,0.5814340647101228
GS_1,attack,branch,hrtimer_start_range_ns,2.1350000000000002,2.72,1.55,0.8273149339882607,2,29.238053,0.06840400761295562
GS_1,attack,branch,psi_task_switch,2.2710000000000004,3.9,1.35,0.7119868419836808,20,29.238053,0.6840400761295562
GS_1,attack,branch,security_file_ioctl,1.7061904761904765,4.85,0.95,0.8216232481525592,21,29.238053,0.7182420799360341
GS_1,attack,branch,neigh_hh_output,3.0866666666666664,3.88,1.98,0.8150501007095616,6,29.238053,0.20521202283886686
GS_1,attack,branch,__fdget,1.755,2.06,1.46,0.25357444666211937,4,29.238053,0.13680801522591124
GS_1,attack,branch,rb_erase,1.811212121212121,2.64,1.44,0.2945309573686353,33,29.238053,1.1286661256137678
GS_1,attack,branch,__tcp_push_pending_frames,6.395294117647059,9.58,2.38,2.8113055633616626,17,29.238053,0.5814340647101228
GS_1,attack,branch,psi_group_change,15.353397790055249,28.21,1.73,4.746438326650119,362,29.238053,12.381125377944967
GS_1,attack,branch,tcp_event_data_recv,2.832631578947369,5.5,0.92,1.4253726300525502,19,29.238053,0.6498380723230784
GS_1,attack,branch,timespec64_add_safe,2.3985714285714286,8.81,1.57,1.9337761271383282,14,29.238053,0.47882805329068934
GS_1,attack,branch,x86_pmu_disable,1.7,1.7,1.7,nan,1,29.238053,0.03420200380647781
GS_1,attack,branch,sock_poll,2.395625,5.58,1.16,1.128804492962946,16,29.238053,0.547232060903645
GS_1,attack,branch,switch_fpu_return,2.479117647058824,5.0,1.41,0.9172632801620751,34,29.238053,1.1628681294202456
GS_1,attack,branch,perf_event_groups_first,3.1092432432432435,22.66,0.5,3.0034917126046947,185,29.238053,6.327370704198395
GS_1,attack,branch,ip_local_out,2.6269230769230774,4.6,1.45,0.9736733248835276,13,29.238053,0.4446260494842115
GS_1,attack,branch,__skb_clone,4.822142857142857,7.63,1.58,2.4330044059887026,14,29.238053,0.47882805329068934
GS_1,attack,branch,dequeue_entity,1.9087500000000002,4.18,1.3,0.7276006579101645,24,29.238053,0.8208480913554674
GS_1,attack,branch,dequeue_task,1.9578260869565218,3.81,1.16,0.6631190522601168,23,29.238053,0.7866460875489897
GS_1,attack,branch,remove_wait_queue,1.955,2.15,1.76,0.27577164466275345,2,29.238053,0.06840400761295562
GS_1,attack,branch,tcp_clean_rtx_queue.constprop.0,3.3036363636363637,6.96,1.0,1.932418850466007,33,29.238053,1.1286661256137678
GS_1,attack,branch,__check_object_size,1.9044444444444446,2.64,1.3,0.4906146938054116,9,29.238053,0.3078180342583003
GS_1,attack,branch,sched_clock_cpu,5.357213114754098,23.97,1.13,6.8687747891327104,61,29.238053,2.0863222321951467
GS_1,attack,branch,do_poll.constprop.0,2.379895287958115,6.9,0.49,1.0777764583812532,191,29.238053,6.532582727037262
GS_1,attack,branch,_copy_from_iter,3.494285714285714,5.26,1.45,1.3241991152025805,14,29.238053,0.47882805329068934
GS_1,attack,branch,tcp_sendmsg,5.624545454545454,13.43,1.49,4.435338315622155,22,29.238053,0.7524440837425118
