id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,__update_load_avg_se,2.496428571428571,3.26,1.96,0.40774439849677213,14,211.57453,0.06617053574454354
2-39-89-25,attack,branch,hash_futex,2.5433333333333334,3.35,1.68,0.5631932764750185,6,211.57453,0.0283588010333758
2-39-89-25,attack,branch,___slab_alloc,2.584285714285714,3.76,1.84,0.636051809809472,7,211.57453,0.03308526787227177
2-39-89-25,attack,branch,enqueue_entity,2.263478260869565,2.76,0.71,0.4050320828555344,23,211.57453,0.10870873729460724
2-39-89-25,attack,branch,fpregs_assert_state_consistent,2.5012499999999998,4.05,1.37,0.8707375773282261,8,211.57453,0.037811734711167735
2-39-89-25,attack,branch,__srcu_read_unlock,4.851290322580644,9.62,0.61,3.1576986244503487,62,211.57453,0.29304094401154995
2-39-89-25,attack,branch,memcg_slab_free_hook,3.444851485148514,9.44,0.44,1.524869577282849,101,211.57453,0.4773731507284927
2-39-89-25,attack,branch,ctx_sched_in,2.3532258064516127,4.24,0.48,0.7062454110613119,31,211.57453,0.14652047200577498
2-39-89-25,attack,branch,native_sched_clock,2.827142857142857,4.5,1.65,0.7551304377536229,14,211.57453,0.06617053574454354
2-39-89-25,attack,branch,update_sg_wakeup_stats,2.710714285714286,5.8,0.3,1.3031133317561816,42,211.57453,0.19851160723363062
2-39-89-25,attack,branch,__mod_memcg_lruvec_state,2.860833333333334,4.54,1.77,0.8684621552788095,12,211.57453,0.0567176020667516
2-39-89-25,attack,branch,arch_perf_update_userpage,3.1436363636363636,5.13,1.95,1.0592381481732305,11,211.57453,0.05199113522785564
2-39-89-25,attack,branch,list_add_event,2.7975,3.84,1.99,0.796173138624173,4,211.57453,0.018905867355583868
2-39-89-25,attack,branch,perf_log_itrace_start,2.3184375,3.96,1.85,0.5811451951992944,32,211.57453,0.15124693884467094
2-39-89-25,attack,branch,perf_event__id_header_size,3.0477777777777777,4.25,1.88,0.7824764817197029,9,211.57453,0.0425382015500637
2-39-89-25,attack,branch,cyc2ns_read_begin,2.7977777777777777,4.6,1.73,0.8538702737795972,9,211.57453,0.0425382015500637
2-39-89-25,attack,branch,psi_task_switch,2.9775,3.56,2.41,0.49715021204192733,4,211.57453,0.018905867355583868
2-39-89-25,attack,branch,perf_event_update_userpage,2.8938461538461535,4.05,1.65,0.7660563345422499,13,211.57453,0.061444068905647575
2-39-89-25,attack,branch,x86_setup_perfctr,2.565217391304348,5.16,0.39,1.0579114416422046,46,211.57453,0.21741747458921448
2-39-89-25,attack,branch,perf_event_alloc,5.277433628318584,15.45,1.84,2.7179560922163906,113,211.57453,0.5340907527952443
2-39-89-25,attack,branch,kmem_cache_alloc_node,5.007846153846153,13.83,1.62,2.0586331676098935,130,211.57453,0.6144406890564758
2-39-89-25,attack,branch,memset_erms,4.1260377358490565,20.69,0.71,2.422256201008545,106,211.57453,0.5010054849229725
2-39-89-25,attack,branch,inherit_task_group.isra.0,2.1999999999999993,3.58,1.28,0.40171601608071045,34,211.57453,0.16069987252246287
2-39-89-25,attack,branch,hsw_hw_config,3.4217647058823535,7.38,1.86,1.547571627155419,17,211.57453,0.08034993626123144
2-39-89-25,attack,branch,inherit_event.constprop.0,3.7588888888888885,9.44,1.28,1.701731144713784,72,211.57453,0.3403056124005096
2-39-89-25,attack,branch,get_partial_node.part.0,2.4025000000000003,3.83,2.21,0.4589905973122464,20,211.57453,0.09452933677791935
2-39-89-25,attack,branch,perf_event_task_output,5.13125,8.11,1.72,2.5950911764879696,8,211.57453,0.037811734711167735
2-39-89-25,attack,branch,perf_init_event,5.083333333333333,7.18,3.51,1.8901410882083203,3,211.57453,0.0141794005166879
2-39-89-25,attack,branch,account_event,2.5241666666666664,3.42,1.71,0.5414703606986735,12,211.57453,0.0567176020667516
2-39-89-25,attack,branch,psi_group_change,7.839569892473118,22.02,1.78,3.4265552520116525,186,211.57453,0.8791228320346499
2-39-89-25,attack,branch,update_curr,3.4755555555555557,5.21,2.31,0.9471946884235456,9,211.57453,0.0425382015500637
2-39-89-25,attack,branch,rb_insert_color,3.8089743589743583,12.3,0.45,2.276848924641472,39,211.57453,0.18433220671694273
2-39-89-25,attack,branch,futex_wake,2.1824999999999997,2.49,1.86,0.28860295678781034,4,211.57453,0.018905867355583868
2-39-89-25,attack,branch,local_clock,1.9331818181818186,2.14,0.6,0.42066145604994587,22,211.57453,0.10398227045571128
2-39-89-25,attack,branch,mutex_unlock,3.3383333333333334,4.71,2.39,0.43169702204275134,24,211.57453,0.1134352041335032
2-39-89-25,attack,branch,x86_reserve_hardware,2.203888888888889,3.95,0.6,0.6254062806472412,36,211.57453,0.1701528062002548
2-39-89-25,attack,branch,perf_event_groups_first,3.3177777777777777,5.93,2.31,1.1128204906652486,9,211.57453,0.0425382015500637
2-39-89-25,attack,branch,kmem_cache_alloc_node_trace,5.156428571428572,17.17,1.8,2.4944686230418323,98,211.57453,0.46319375021180476
2-39-89-25,attack,branch,__schedule,2.2924444444444454,2.98,0.44,0.7506214260547893,45,211.57453,0.21269100775031852
2-39-89-25,attack,branch,_raw_spin_lock_irqsave,2.899473684210526,5.15,1.95,0.808547900623296,19,211.57453,0.08980286993902338
2-39-89-25,attack,branch,dequeue_entity,3.5499999999999994,7.29,2.04,1.7052272575818157,9,211.57453,0.0425382015500637
