id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,enqueue_hrtimer,2.76,2.76,2.76,nan,1,211.57453,0.004726466838895967
GS_1,attack,branch,dequeue_task_fair,2.487333333333333,4.19,1.41,0.8698396130212469,15,211.57453,0.0708970025834395
GS_1,attack,branch,__copy_skb_header,1.36,1.36,1.36,nan,1,211.57453,0.004726466838895967
GS_1,attack,branch,tcp_recvmsg_locked,1.8561363636363633,3.82,1.09,0.6655238045786851,44,211.57453,0.20796454091142255
GS_1,attack,branch,inet_sendmsg,1.89,2.21,1.55,0.2817800560721074,4,211.57453,0.018905867355583868
GS_1,attack,branch,hash_futex,1.3075,1.57,1.1,0.19465781943365815,4,211.57453,0.018905867355583868
GS_1,attack,branch,do_sys_poll,2.15,2.81,1.49,0.9333809511662428,2,211.57453,0.009452933677791934
GS_1,attack,branch,perf_exclude_event,1.3314285714285714,1.58,1.2,0.13347016788138732,7,211.57453,0.03308526787227177
GS_1,attack,branch,__lock_text_start,2.341,3.39,1.56,0.599063157493988,10,211.57453,0.04726466838895967
GS_1,attack,branch,enqueue_task_fair,1.3733333333333333,1.58,1.14,0.22120880030716086,3,211.57453,0.0141794005166879
GS_1,attack,branch,native_queued_spin_lock_slowpath.,1.6633333333333333,1.86,1.53,0.17387735140993305,3,211.57453,0.0141794005166879
GS_1,attack,branch,ctx_sched_in,1.8483333333333334,2.75,1.19,0.44468238580184877,12,211.57453,0.0567176020667516
GS_1,attack,branch,apparmor_socket_sock_rcv_skb,1.2349999999999999,1.31,1.16,0.10606601717798222,2,211.57453,0.009452933677791934
GS_1,attack,branch,ip_output,2.1449999999999996,2.64,1.78,0.36134009833765574,4,211.57453,0.018905867355583868
GS_1,attack,branch,jiffies_to_usecs,1.39,1.39,1.39,nan,1,211.57453,0.004726466838895967
GS_1,attack,branch,__sk_dst_check,1.155,1.25,1.06,0.134350288425444,2,211.57453,0.009452933677791934
GS_1,attack,branch,skb_free_head,1.26,1.26,1.26,nan,1,211.57453,0.004726466838895967
