id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-139-28,normal,branch,x86_reserve_hardware,1.9500000000000002,2.1,1.8,0.21213203435596428,2,51.892716,0.03854105458654351
2-39-139-28,normal,branch,perf_event_alloc,5.236666666666667,10.72,1.87,2.790567445281814,15,51.892716,0.28905790939907633
2-39-139-28,normal,branch,finish_task_switch.isra.0,1.87,1.95,1.79,0.11313708498984755,2,51.892716,0.03854105458654351
2-39-139-28,normal,branch,inherit_event.constprop.0,3.0770967741935493,6.78,2.01,1.2396510088149468,31,51.892716,0.5973863460914245
2-39-139-28,normal,branch,iterate_groups,2.45875,3.08,1.84,0.4635095160064909,8,51.892716,0.15416421834617405
2-39-139-28,normal,branch,merge_sched_in,3.927096774193549,14.29,2.09,2.835885744699395,31,51.892716,0.5973863460914245
2-39-139-28,normal,branch,native_sched_clock,2.087894736842106,4.89,1.56,0.9860785350026551,19,51.892716,0.3661400185721634
2-39-139-28,normal,branch,psi_group_change,13.401578947368426,33.85,5.78,5.047531120510085,38,51.892716,0.7322800371443268
2-39-139-28,normal,branch,perf_swevent_add,1.58,1.58,1.58,nan,1,51.892716,0.019270527293271757
2-39-139-28,normal,branch,memcg_slab_post_alloc_hook,3.3019999999999996,4.39,2.17,0.969262606314718,5,51.892716,0.09635263646635879
2-39-139-28,normal,branch,kmem_cache_alloc_trace,2.8975,3.68,2.34,0.6149457970694112,4,51.892716,0.07708210917308703
2-39-139-28,normal,branch,memset_erms,1.88,1.88,1.88,nan,1,51.892716,0.019270527293271757
2-39-139-28,normal,branch,visit_groups_merge.constprop.0.is,2.315,2.97,1.76,0.5247539105777743,4,51.892716,0.07708210917308703
2-39-139-28,normal,cycles,error_entry,2.3925,2.96,1.88,0.5034133490482747,4,51.892716,0.07708210917308703
2-39-139-28,normal,cycles,ktime_get_ts64,2.235555555555556,2.79,1.67,0.4139175978111801,9,51.892716,0.1734347456394458
2-39-139-28,normal,cycles,native_sched_clock,2.369,3.66,1.68,0.5545859316242665,10,51.892716,0.19270527293271758
2-39-139-28,normal,cycles,arch_perf_update_userpage,2.52,2.52,2.52,nan,1,51.892716,0.019270527293271757
2-39-139-28,normal,cycles,perf_event_update_userpage,2.52,2.52,2.52,nan,1,51.892716,0.019270527293271757
2-39-139-28,normal,cycles,perf_event_alloc,4.772,9.97,2.37,2.178365048772654,15,51.892716,0.28905790939907633
