id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,psi_task_change,6.053333333333334,10.72,3.11,4.0872280745431055,3,28.092611,0.10678964657290131
GS_1,attack,branch,tcp_mtu_probe,2.335,2.84,1.83,0.7141778489984129,2,28.092611,0.07119309771526755
GS_1,attack,branch,skb_release_data,1.66,1.66,1.66,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,sync_regs,3.61,3.61,3.61,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,exit_to_user_mode_loop,1.6280000000000001,2.2,1.29,0.37009458250560767,5,28.092611,0.17798274428816885
GS_1,attack,branch,ctx_sched_in,1.775,2.6,1.36,0.41043530897955516,8,28.092611,0.2847723908610702
GS_1,attack,branch,tcp_options_write,1.3266666666666664,1.39,1.26,0.06506407098647707,3,28.092611,0.10678964657290131
GS_1,attack,branch,arch_perf_update_userpage,2.53125,2.97,2.09,0.2822074971161671,8,28.092611,0.2847723908610702
GS_1,attack,branch,_raw_spin_lock_bh,7.015000000000001,9.99,4.04,4.207285348059958,2,28.092611,0.07119309771526755
GS_1,attack,branch,perf_log_itrace_start,3.014545454545454,4.52,1.9,0.7532113068238372,11,28.092611,0.3915620374339715
GS_1,attack,branch,fput_many,1.805,2.01,1.6,0.2899137802864843,2,28.092611,0.07119309771526755
GS_1,attack,branch,perf_event_update_userpage,1.74125,3.08,1.28,0.5868666799197242,8,28.092611,0.2847723908610702
GS_1,attack,branch,tcp_chrono_stop,2.72,2.72,2.72,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,kmem_cache_alloc_node,1.7466666666666668,2.09,1.48,0.31214312956291906,3,28.092611,0.10678964657290131
GS_1,attack,branch,_raw_spin_unlock_bh,1.92,1.92,1.92,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,__dev_queue_xmit,6.333333333333333,11.22,3.25,4.280097350917773,3,28.092611,0.10678964657290131
GS_1,attack,branch,rb_erase,0.0,0.0,0.0,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,tcp_parse_md5sig_option,1.936,2.14,1.73,0.16318700928689148,5,28.092611,0.17798274428816885
GS_1,attack,branch,enqueue_to_backlog,5.789999999999999,10.26,2.97,3.91508620594745,3,28.092611,0.10678964657290131
GS_1,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,sk_reset_timer,2.3066666666666666,3.2,1.65,0.8016441438277545,3,28.092611,0.10678964657290131
GS_1,attack,branch,ip_local_deliver,6.2299999999999995,11.03,3.2,4.204390562257507,3,28.092611,0.10678964657290131
GS_1,attack,branch,ip_protocol_deliver_rcu,1.5799999999999998,2.28,0.59,0.4661276649159541,9,28.092611,0.32036893971870395
GS_1,attack,branch,psi_group_change,18.558333333333334,22.53,11.54,4.073586388013155,12,28.092611,0.42715858629160525
GS_1,attack,branch,native_write_msr,0.03,0.03,0.03,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,__intel_pmu_enable_all.constprop.,0.0,0.0,0.0,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,update_curr,2.2039999999999997,2.43,1.97,0.18541844568434937,5,28.092611,0.17798274428816885
GS_1,attack,branch,tcp_current_mss,1.5525,3.6,0.1,1.6831592319207356,4,28.092611,0.1423861954305351
GS_1,attack,branch,calc_timer_values,3.6999999999999997,4.31,3.09,0.8626702730475878,2,28.092611,0.07119309771526755
GS_1,attack,branch,visit_groups_merge.constprop.0.is,1.5550000000000002,1.6,1.51,0.06363961030678934,2,28.092611,0.07119309771526755
GS_1,attack,branch,perf_event_groups_first,2.163333333333333,3.96,1.57,0.7343364351576188,9,28.092611,0.32036893971870395
GS_1,attack,branch,__x64_sys_futex,1.8133333333333335,2.17,1.53,0.32624121954978846,3,28.092611,0.10678964657290131
GS_1,attack,branch,__tcp_ack_snd_check,1.875,2.29,1.6,0.24460171708309816,6,28.092611,0.21357929314580262
GS_1,attack,branch,read_tsc,3.905,4.55,3.26,0.9121677477306463,2,28.092611,0.07119309771526755
GS_1,attack,branch,perf_mux_hrtimer_handler,0.0,0.0,0.0,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,dequeue_task,2.43,2.43,2.43,nan,1,28.092611,0.035596548857633775
GS_1,attack,branch,merge_sched_in,4.694999999999999,6.26,0.06,1.7320075057574087,10,28.092611,0.3559654885763377
GS_1,attack,branch,tcp_clean_rtx_queue.constprop.0,3.5999999999999996,4.42,2.78,1.159655121145938,2,28.092611,0.07119309771526755
GS_1,attack,branch,perf_swevent_add,3.1659999999999995,5.85,1.48,1.8432661229458973,5,28.092611,0.17798274428816885
GS_1,attack,branch,event_sched_in,6.210833333333333,12.7,4.0,2.619224237452877,12,28.092611,0.42715858629160525
GS_1,attack,branch,tcp_rcv_established,1.5285714285714285,2.01,1.24,0.2737656279513902,7,28.092611,0.2491758420034364
GS_1,attack,branch,__tcp_transmit_skb,1.585,1.94,1.35,0.2084946042467286,6,28.092611,0.21357929314580262
GS_1,attack,branch,__mod_timer,6.6499999999999995,11.78,3.41,4.493695583815174,3,28.092611,0.10678964657290131
GS_1,attack,branch,_raw_spin_lock,3.9425000000000003,10.37,1.59,3.193749933285891,12,28.092611,0.42715858629160525
GS_1,attack,branch,__virt_addr_valid,3.1199999999999997,4.61,1.86,1.3893523671121017,3,28.092611,0.10678964657290131
GS_1,attack,branch,do_poll.constprop.0,1.255,1.29,1.22,0.049497474683058366,2,28.092611,0.07119309771526755
GS_1,attack,branch,try_to_wake_up,3.99,5.52,2.49,1.5152227559009266,3,28.092611,0.10678964657290131
GS_1,attack,branch,__perf_event_task_sched_in,0.045,0.06,0.03,0.021213203435596427,2,28.092611,0.07119309771526755
GS_1,attack,branch,aa_label_next_confined,1.5716666666666665,2.22,1.21,0.37880953877465484,6,28.092611,0.21357929314580262
GS_1,attack,branch,skb_release_head_state,3.6599999999999997,5.07,2.28,1.3952419145080184,3,28.092611,0.10678964657290131
GS_1,attack,branch,_copy_from_iter,1.438,1.77,1.21,0.2257653649256236,5,28.092611,0.17798274428816885
GS_1,attack,branch,rb_next,2.262,2.5,2.02,0.19188538245525633,5,28.092611,0.17798274428816885
GS_1,attack,branch,validate_xmit_skb,3.0766666666666667,4.54,1.84,1.3641969554772262,3,28.092611,0.10678964657290131
GS_1,attack,branch,__update_load_avg_cfs_rq,3.12875,4.48,2.62,0.6318778702068486,8,28.092611,0.2847723908610702
GS_1,attack,branch,xfd_validate_state,4.1499999999999995,5.74,2.59,1.5752142711390096,3,28.092611,0.10678964657290131
GS_1,attack,branch,perf_swevent_event,3.415,4.2,2.63,1.1101576464628797,2,28.092611,0.07119309771526755
GS_1,normal,branch,psi_task_change,5.002727272727274,12.37,1.71,3.700273208586336,11,51.892716,0.21197580022598933
GS_1,normal,branch,__update_load_avg_se,4.0393103448275856,12.61,1.75,2.769527978135421,29,51.892716,0.5588452915048809
GS_1,normal,branch,prepare_task_switch,1.9249999999999998,2.7,1.53,0.4524046860942093,6,51.892716,0.11562316375963054
GS_1,normal,branch,do_sys_poll,1.6255555555555554,2.05,1.46,0.20335382410414066,9,51.892716,0.1734347456394458
GS_1,normal,branch,perf_exclude_event,2.0725,2.7,1.57,0.49741833500585814,4,51.892716,0.07708210917308703
