id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,___slab_alloc,3.3662162162162166,5.41,1.74,1.0493658173480869,37,382.849363,0.09664375489636116
2-39-89-25,attack,branch,perf_event_init_context,3.5676923076923073,12.3,0.12,1.8567737217674511,65,382.849363,0.16977956941252637
2-39-89-25,attack,branch,intel_pmu_hw_config.part.0,3.268076923076923,8.39,0.56,1.6665898474000775,52,382.849363,0.1358236555300211
2-39-89-25,attack,branch,finish_task_switch.isra.0,3.676341463414634,6.12,0.14,2.4061294188982867,41,382.849363,0.10709172839867048
2-39-89-25,attack,branch,__lock_text_start,3.0677777777777773,7.71,0.08,1.3693414949667246,90,382.849363,0.23507940380195957
2-39-89-25,attack,branch,ctx_sched_in,2.785,4.09,1.95,0.7276576903226641,8,382.849363,0.02089594700461863
2-39-89-25,attack,branch,__mod_memcg_lruvec_state,3.6207142857142856,6.7,1.46,1.5035571375687944,14,382.849363,0.0365679072580826
2-39-89-25,attack,branch,psi_task_switch,2.4557142857142855,5.7,0.02,1.078472208333374,63,382.849363,0.1645555826613717
2-39-89-25,attack,branch,rb_erase,1.9755555555555557,4.21,1.43,0.7000212839477084,45,382.849363,0.11753970190097979
2-39-89-25,attack,branch,inherit_task_group.isra.0,2.8223529411764705,4.59,1.69,0.8372091242019875,17,382.849363,0.044403887384814586
2-39-89-25,attack,branch,hsw_hw_config,2.940199999999999,7.29,0.22,1.3883061033989201,50,382.849363,0.13059966877886645
2-39-89-25,attack,branch,psi_group_change,13.451645569620254,46.8,0.42,11.159346846720414,316,382.849363,0.8253899066824358
2-39-89-25,attack,branch,x86_reserve_hardware,1.6487755102040815,4.48,1.1,0.752826985028934,49,382.849363,0.12798767540328912
2-39-89-25,attack,branch,perf_event_groups_first,3.4058333333333333,11.96,0.2,1.9358266238261432,60,382.849363,0.15671960253463973
2-39-89-25,attack,branch,obj_cgroup_charge_pages,2.009259259259259,3.96,1.61,0.649756912686618,27,382.849363,0.07052382114058788
2-39-89-25,attack,branch,rcu_all_qs,2.872,3.53,2.19,0.5520144925633745,5,382.849363,0.013059966877886643
2-39-89-25,attack,branch,x86_pmu_event_init,3.629915254237289,9.32,0.26,1.8001896840998952,118,382.849363,0.30821521831812476
2-39-89-25,attack,branch,intel_pmu_event_map,2.625384615384615,4.66,0.21,1.3705777616792552,39,382.849363,0.10186774164751582
2-39-89-25,attack,branch,__task_pid_nr_ns,3.6055000000000006,6.75,1.58,1.4834010530569697,20,382.849363,0.05223986751154657
2-39-89-25,attack,branch,perf_pmu_nop_int,4.106792452830189,8.79,1.79,1.624301948986212,53,382.849363,0.13843564890559842
2-39-89-25,attack,branch,visit_groups_merge.constprop.0.is,4.057575757575757,13.24,1.64,2.384773532615791,66,382.849363,0.1723915627881037
2-39-89-25,attack,branch,psi_task_change,2.5322448979591834,4.34,0.02,1.0338303884626545,49,382.849363,0.12798767540328912
2-39-89-25,attack,branch,__update_load_avg_se,2.6908510638297876,5.57,0.57,1.0164769288582096,47,382.849363,0.12276368865213445
2-39-89-25,attack,branch,intel_pmu_bts_config,2.5775,3.74,1.56,0.7871422089704359,8,382.849363,0.02089594700461863
2-39-89-25,attack,branch,memcg_slab_free_hook,3.015588235294118,12.86,0.09,1.6123585660772841,102,382.849363,0.26642332430888754
