id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,merge_sched_in,2.861666666666667,4.5,2.33,0.8676731335397373,6,28.588435,0.20987507710722886
2-39-89-25,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,28.588435,0.034979179517871474
2-39-89-25,attack,branch,rb_next,4.713333333333334,7.58,2.71,2.5472010783079795,3,28.588435,0.10493753855361443
2-39-89-25,attack,branch,psi_group_change,9.668888888888889,15.45,7.33,2.7746911740067777,9,28.588435,0.3148126156608433
2-39-89-25,attack,branch,perf_iterate_ctx,8.146,9.02,6.54,0.9383123147438704,5,28.588435,0.17489589758935736
2-39-89-25,normal,branch,event_sched_in,23.465,38.85,18.19,6.709787430941537,20,51.87778,0.3855215084377165
2-39-89-25,normal,branch,kfree,14.86384615384615,17.71,14.01,1.6225573357180048,13,51.87778,0.2505889804845157
2-39-89-25,normal,branch,psi_group_change,26.220769230769232,100.0,8.97,32.59979679974425,26,51.87778,0.5011779609690314
2-39-89-25,normal,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,51.87778,0.019276075421885825
2-39-89-25,attack,cycles,perf_event_update_userpage,3.872,5.74,3.15,1.133807743843726,5,28.588435,0.17489589758935736
2-39-89-25,attack,cycles,perf_event_alloc,7.396000000000001,14.15,3.09,4.490866286141238,5,28.588435,0.17489589758935736
2-39-89-25,attack,cycles,entry_SYSCALL_64_after_hwframe,2.85,2.85,2.85,0.0,3,28.588435,0.10493753855361443
2-39-89-25,attack,cycles,syscall_return_via_sysret,6.48,6.48,6.48,0.0,3,28.588435,0.10493753855361443
2-39-89-25,attack,cycles,rb_next,18.24,100.0,6.33,28.8448605088979,10,28.588435,0.3497917951787147
2-39-89-25,attack,cycles,update_sg_wakeup_stats,3.872,5.74,3.15,1.133807743843726,5,28.588435,0.17489589758935736
2-39-89-25,attack,cycles,native_write_msr,0.0,0.0,0.0,nan,1,28.588435,0.034979179517871474
2-39-89-25,attack,cycles,memset_erms,3.6199999999999997,3.62,3.62,5.438959822042073e-16,3,28.588435,0.10493753855361443
2-39-89-25,attack,cycles,syscall_exit_to_user_mode,9.462500000000002,9.63,8.96,0.33499999999999996,4,28.588435,0.1399167180714859
2-39-89-25,normal,cycles,perf_event_groups_first,2.24,2.38,2.1,0.19798989873223316,2,51.87778,0.03855215084377165
2-39-89-25,normal,cycles,perf_event_update_userpage,5.71542857142857,28.07,3.35,4.698982582530434,35,51.87778,0.6746626397660038
2-39-89-25,normal,cycles,perf_event_alloc,6.0636,8.06,3.14,1.8223562586205078,25,51.87778,0.4819018855471456
2-39-89-25,normal,cycles,entry_SYSCALL_64_after_hwframe,2.3415384615384616,4.15,1.87,0.6541234886942513,26,51.87778,0.5011779609690314
2-39-89-25,normal,cycles,_raw_spin_lock_irqsave,2.3525,2.82,1.88,0.4016113378213651,4,51.87778,0.0771043016875433
2-39-89-25,normal,cycles,__perf_event_task_sched_in,2.779166666666667,9.77,1.97,1.7460985496035255,24,51.87778,0.4626258101252598
2-39-89-25,normal,cycles,merge_sched_in,2.3525,2.82,1.88,0.4016113378213651,4,51.87778,0.0771043016875433
2-39-89-25,normal,cycles,syscall_return_via_sysret,4.585666666666666,19.4,1.97,4.084753555503122,30,51.87778,0.5782822626565747
2-39-89-25,normal,cycles,rb_next,5.04,6.64,3.52,1.5615377036754508,3,51.87778,0.05782822626565747
2-39-89-25,normal,cycles,native_sched_clock,5.711428571428571,14.03,2.31,4.222646992000114,7,51.87778,0.13493252795320076
2-39-89-25,normal,cycles,rb_insert_color,2.365,2.81,1.95,0.36963946398258585,4,51.87778,0.0771043016875433
2-39-89-25,normal,cycles,native_write_msr,0.0,0.0,0.0,nan,1,51.87778,0.019276075421885825
2-39-89-25,normal,cycles,memset_erms,3.4337037037037046,6.64,2.33,0.8292218231021373,27,51.87778,0.5204540363909173
2-39-89-25,normal,cycles,syscall_exit_to_user_mode,5.3094117647058825,9.77,3.02,1.4915132465740564,34,51.87778,0.655386564344118
2-39-89-25,normal,cycles,visit_groups_merge.constprop.0.is,3.324117647058823,14.03,1.67,2.5559936899991564,34,51.87778,0.655386564344118
2-39-89-25,normal,cycles,kfree,2.7808333333333333,4.22,1.95,0.8108632698699839,12,51.87778,0.2313129050626299
2-39-89-25,attack,instructions,perf_event_alloc,3.7557142857142862,6.26,2.28,1.584506833296059,7,28.588435,0.24485425662510032
2-39-89-25,attack,instructions,memcg_slab_free_hook,4.930000000000001,8.13,3.75,1.8868386258501284,6,28.588435,0.20987507710722886
2-39-89-25,attack,instructions,perf_event_groups_insert,7.482000000000001,14.29,3.45,4.340422790466385,5,28.588435,0.17489589758935736
2-39-89-25,attack,instructions,__intel_pmu_enable_all.constprop.,100.0,100.0,100.0,nan,1,28.588435,0.034979179517871474
2-39-89-25,attack,instructions,psi_group_change,8.3025,14.34,3.45,4.081107525704712,12,28.588435,0.4197501542144577
2-39-89-25,attack,instructions,update_sg_wakeup_stats,4.276,6.6,2.38,1.7442276227602862,5,28.588435,0.17489589758935736
2-39-89-25,normal,instructions,perf_event_alloc,20.013749999999998,31.52,13.11,9.205,16,51.87778,0.3084172067501732
2-39-89-25,normal,instructions,kmem_cache_alloc_node,20.013749999999998,31.52,13.11,9.205,16,51.87778,0.3084172067501732
2-39-89-25,normal,instructions,rb_next,29.209999999999997,29.21,29.21,0.0,10,51.87778,0.19276075421885824
2-39-89-25,normal,instructions,__intel_pmu_enable_all.constprop.,100.0,100.0,100.0,nan,1,51.87778,0.019276075421885825
2-39-89-25,normal,instructions,kfree,19.384,50.0,7.68,16.422220633224846,20,51.87778,0.3855215084377165
2-39-139-28,attack,branch,merge_sched_in,5.1979999999999995,8.51,3.69,1.9411517199848134,5,28.588435,0.17489589758935736
2-39-139-28,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,28.588435,0.034979179517871474
2-39-139-28,attack,branch,rb_next,2.72,2.72,2.72,nan,1,28.588435,0.034979179517871474
2-39-139-28,attack,branch,psi_group_change,11.526,16.67,8.39,2.6099135788161436,10,28.588435,0.3497917951787147
2-39-139-28,attack,branch,perf_iterate_ctx,1.775,1.86,1.69,0.12020815280171318,2,28.588435,0.06995835903574295
2-39-139-28,normal,branch,event_sched_in,4.813571428571428,8.2,2.4,1.1825152548877864,28,51.87778,0.5397301118128031
2-39-139-28,normal,branch,kfree,3.41625,5.46,2.01,1.135956959697732,8,51.87778,0.1542086033750866
2-39-139-28,normal,branch,psi_group_change,16.440571428571424,50.0,9.0,12.532401521622251,35,51.87778,0.6746626397660038
2-39-139-28,normal,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,51.87778,0.019276075421885825
2-39-139-28,attack,cycles,perf_event_update_userpage,3.5875000000000004,7.17,1.56,2.460817953445561,4,28.588435,0.1399167180714859
2-39-139-28,attack,cycles,perf_event_alloc,3.175,4.86,2.37,1.1370282904718483,4,28.588435,0.1399167180714859
2-39-139-28,attack,cycles,entry_SYSCALL_64_after_hwframe,3.0949999999999998,3.83,2.77,0.49386232899462995,4,28.588435,0.1399167180714859
2-39-139-28,attack,cycles,syscall_return_via_sysret,2.6,2.6,2.6,nan,1,28.588435,0.034979179517871474
2-39-139-28,attack,cycles,rb_next,2.74,2.97,2.42,0.2333809475228574,4,28.588435,0.1399167180714859
2-39-139-28,attack,cycles,update_sg_wakeup_stats,3.8200000000000003,7.17,1.56,2.9595776725742478,3,28.588435,0.10493753855361443
2-39-139-28,attack,cycles,native_write_msr,100.0,100.0,100.0,nan,1,28.588435,0.034979179517871474
2-39-139-28,attack,cycles,memset_erms,12.912,14.34,11.14,1.1719726959276824,5,28.588435,0.17489589758935736
2-39-139-28,attack,cycles,syscall_exit_to_user_mode,30.054000000000002,100.0,5.34,39.42559485917746,5,28.588435,0.17489589758935736
2-39-139-28,normal,cycles,perf_event_groups_first,3.17,4.77,1.83,1.033606722667213,8,51.87778,0.1542086033750866
2-39-139-28,normal,cycles,perf_event_update_userpage,5.242571428571428,13.34,2.12,1.851673873675864,35,51.87778,0.6746626397660038
2-39-139-28,normal,cycles,perf_event_alloc,5.9309375,9.43,2.62,1.2399463031427698,32,51.87778,0.6168344135003464
2-39-139-28,normal,cycles,entry_SYSCALL_64_after_hwframe,3.083636363636363,4.52,1.69,0.8963958135474833,11,51.87778,0.21203682964074408
2-39-139-28,normal,cycles,_raw_spin_lock_irqsave,4.1425,5.56,2.15,0.666778432660257,24,51.87778,0.4626258101252598
2-39-139-28,normal,cycles,__perf_event_task_sched_in,3.2461111111111123,13.34,1.79,2.511601967757717,36,51.87778,0.6939387151878896
2-39-139-28,normal,cycles,merge_sched_in,2.3308,3.84,2.07,0.44696122128584387,25,51.87778,0.4819018855471456
2-39-139-28,normal,cycles,syscall_return_via_sysret,4.675,6.63,2.96,1.566790775226014,4,51.87778,0.0771043016875433
2-39-139-28,normal,cycles,rb_next,5.615588235294117,8.18,2.45,1.1164478062586813,34,51.87778,0.655386564344118
2-39-139-28,normal,cycles,native_sched_clock,2.6472727272727274,3.14,1.81,0.25605397158340715,22,51.87778,0.42407365928148816
2-39-139-28,normal,cycles,rb_insert_color,3.6833333333333336,4.41,2.99,0.7105866121264411,3,51.87778,0.05782822626565747
2-39-139-28,normal,cycles,native_write_msr,26.535,100.0,1.88,48.9768765167128,4,51.87778,0.0771043016875433
2-39-139-28,normal,cycles,memset_erms,6.731764705882353,15.99,4.81,2.606406408678705,34,51.87778,0.655386564344118
2-39-139-28,normal,cycles,syscall_exit_to_user_mode,3.1832142857142847,5.08,2.82,0.6584440332887412,28,51.87778,0.5397301118128031
2-39-139-28,normal,cycles,visit_groups_merge.constprop.0.is,7.7155555555555555,35.02,1.72,8.99100087487629,18,51.87778,0.3469693575939448
2-39-139-28,normal,cycles,kfree,6.147083333333332,47.15,2.53,10.51878133095303,24,51.87778,0.4626258101252598
2-39-139-28,attack,instructions,perf_event_alloc,4.33,7.31,2.93,1.9415114387164107,7,28.588435,0.24485425662510032
2-39-139-28,attack,instructions,memcg_slab_free_hook,10.93,10.93,10.93,0.0,4,28.588435,0.1399167180714859
2-39-139-28,attack,instructions,perf_event_groups_insert,8.01076923076923,17.96,2.82,4.988976951804951,13,28.588435,0.45472933373232916
2-39-139-28,attack,instructions,__intel_pmu_enable_all.constprop.,100.0,100.0,100.0,nan,1,28.588435,0.034979179517871474
2-39-139-28,attack,instructions,psi_group_change,17.52823529411765,100.0,4.39,23.876806014230134,17,28.588435,0.594646051803815
2-39-139-28,attack,instructions,update_sg_wakeup_stats,3.6379999999999995,5.07,3.28,0.800512335944925,5,28.588435,0.17489589758935736
2-39-139-28,normal,instructions,perf_event_alloc,6.257368421052632,12.58,2.83,3.0628941326523607,19,51.87778,0.3662454330158307
2-39-139-28,normal,instructions,kmem_cache_alloc_node,4.394285714285714,7.66,1.72,2.123565061736648,7,51.87778,0.13493252795320076
2-39-139-28,normal,instructions,rb_next,3.334117647058824,5.39,1.81,1.2833552646458102,17,51.87778,0.327693282172059
2-39-139-28,normal,instructions,__intel_pmu_enable_all.constprop.,0.0,0.0,0.0,nan,1,51.87778,0.019276075421885825
2-39-139-28,normal,instructions,kfree,3.7947058823529414,6.13,2.2,1.377312226979865,17,51.87778,0.327693282172059
2-39-131-30,attack,branch,merge_sched_in,12.237499999999997,16.24,7.78,4.636596273129675,4,28.588435,0.1399167180714859
2-39-131-30,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,28.588435,0.034979179517871474
2-39-131-30,attack,branch,rb_next,7.755,10.82,6.22,1.6721094461786885,6,28.588435,0.20987507710722886
2-39-131-30,attack,branch,psi_group_change,7.755,10.82,6.22,1.6721094461786885,6,28.588435,0.20987507710722886
2-39-131-30,attack,branch,perf_iterate_ctx,4.279999999999999,6.94,3.34,1.5194735930578067,5,28.588435,0.17489589758935736
2-39-131-30,normal,branch,event_sched_in,5.370000000000001,5.37,5.37,9.101120538054985e-16,21,51.87778,0.4047975838596023
2-39-131-30,normal,branch,kfree,5.370000000000001,5.37,5.37,9.101120538054985e-16,21,51.87778,0.4047975838596023
2-39-131-30,normal,branch,psi_group_change,12.52035714285714,21.74,8.21,2.481504146820597,28,51.87778,0.5397301118128031
2-39-131-30,normal,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,51.87778,0.019276075421885825
2-39-131-30,attack,cycles,perf_event_update_userpage,4.74125,7.89,2.59,1.7271399769561238,8,28.588435,0.2798334361429718
