id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,dequeue_task_fair,11.325000000000001,30.69,2.52,10.541773613063928,12,203.895903,0.05885356117233998
2-39-89-25,attack,branch,perf_event_init_context,2.4611111111111112,4.51,1.71,0.683814714745569,27,203.895903,0.13242051263776497
2-39-89-25,attack,branch,finish_task_switch.isra.0,2.5291176470588232,6.26,0.87,1.213051168440516,34,203.895903,0.16675175665496328
2-39-89-25,attack,branch,intel_pmu_hw_config.part.0,3.3400000000000003,7.72,0.28,1.6110912743664219,54,203.895903,0.26484102527552994
2-39-89-25,attack,branch,__lock_text_start,2.714230769230769,4.13,0.82,1.0967886690768576,26,203.895903,0.12751604920673662
2-39-89-25,attack,branch,ctx_sched_in,2.365833333333333,5.96,0.3,1.2170840445214006,36,203.895903,0.17656068351701995
2-39-89-25,attack,branch,mark_wake_futex,2.36,2.7,1.97,0.36755951898978223,3,203.895903,0.014713390293084995
2-39-89-25,attack,branch,psi_task_switch,2.15,2.15,2.15,nan,1,203.895903,0.004904463431028332
2-39-89-25,attack,branch,inherit_task_group.isra.0,3.9755555555555566,9.42,1.16,2.350782653706489,18,203.895903,0.08828034175850998
2-39-89-25,attack,branch,hsw_hw_config,5.172307692307693,10.56,2.5,2.3409405298090262,13,203.895903,0.06375802460336831
2-39-89-25,attack,branch,psi_group_change,5.256730769230771,12.24,0.15,2.730171249139475,156,203.895903,0.7650962952404198
2-39-89-25,attack,branch,perf_output_begin,2.5833333333333335,3.42,1.97,0.4979022661794849,6,203.895903,0.02942678058616999
2-39-89-25,attack,branch,switch_fpu_return,2.4425,5.96,0.5,1.2326865493840107,32,203.895903,0.15694282979290664
2-39-89-25,attack,branch,perf_event_groups_first,3.422134831460674,9.68,0.22,2.449812827688026,89,203.895903,0.43649724536152157
2-39-89-25,attack,branch,x86_reserve_hardware,3.2555555555555555,3.87,2.07,0.5699661726001789,18,203.895903,0.08828034175850998
2-39-89-25,attack,branch,obj_cgroup_charge_pages,2.2325,2.83,1.68,0.5033471300537368,4,203.895903,0.01961785372411333
2-39-89-25,attack,branch,x86_pmu_event_init,3.5135185185185174,10.53,0.11,1.9109842938519157,54,203.895903,0.26484102527552994
2-39-89-25,attack,branch,intel_pmu_event_map,3.0524999999999998,4.14,2.18,0.854688052254544,4,203.895903,0.01961785372411333
2-39-89-25,attack,branch,intel_cpuc_prepare,2.16,2.74,0.98,0.5955483001216423,19,203.895903,0.09318480518953831
2-39-89-25,attack,branch,alloc_vmap_area,2.6768181818181813,4.98,1.57,1.000530270661924,22,203.895903,0.1078981954826233
2-39-89-25,attack,branch,visit_groups_merge.constprop.0.is,6.981095890410958,32.11,0.2,6.429755387096741,73,203.895903,0.35802583046506825
2-39-89-25,attack,branch,__update_load_avg_se,3.9027272727272733,7.78,1.45,1.9248069560820427,11,203.895903,0.05394909774131165
2-39-89-25,attack,branch,intel_pmu_bts_config,2.1861111111111113,4.64,1.86,0.6849078260311601,36,203.895903,0.17656068351701995
2-39-89-25,attack,branch,get_futex_key,3.0599999999999996,3.32,2.8,0.3676955262170047,2,203.895903,0.009808926862056665
2-39-89-25,attack,branch,memcg_slab_free_hook,3.7915384615384613,28.71,0.08,4.106742638168826,65,203.895903,0.31879012301684156
2-39-89-25,attack,branch,update_sg_wakeup_stats,5.451818181818182,9.2,2.48,2.251065606248819,11,203.895903,0.05394909774131165
2-39-89-25,attack,branch,arch_perf_update_userpage,4.211034482758621,10.56,1.65,2.4355629223587045,29,203.895903,0.14222943949982164
2-39-89-25,attack,branch,perf_event_update_userpage,4.628536585365853,14.51,0.2,2.8600459445397104,41,203.895903,0.20108300067216162
2-39-89-25,attack,branch,kmem_cache_alloc_node,5.729357798165137,28.78,0.74,5.471039625496978,109,203.895903,0.5345865139820882
2-39-89-25,attack,branch,iterate_groups,3.2908571428571425,8.44,1.03,1.790869607084735,35,203.895903,0.17165622008599163
2-39-89-25,attack,branch,perf_init_event,2.44,2.87,2.06,0.40730823708832603,3,203.895903,0.014713390293084995
2-39-89-25,attack,branch,update_curr,6.4363768115942035,26.46,0.1,5.366051503505896,69,203.895903,0.3384079767409549
2-39-89-25,attack,branch,account_event,3.8471428571428583,7.17,1.84,1.6415210046756052,14,203.895903,0.06866248803439665
2-39-89-25,attack,branch,perf_swevent_add,2.571111111111111,4.83,0.7,1.1261723236539347,27,203.895903,0.13242051263776497
2-39-89-25,attack,branch,memcpy_erms,3.1666666666666665,3.92,2.48,0.7223111056416988,3,203.895903,0.014713390293084995
2-39-89-25,attack,branch,slab_free_freelist_hook.constprop,3.5821428571428577,6.79,1.87,1.3006281238246067,14,203.895903,0.06866248803439665
2-39-89-25,attack,branch,hsw_get_event_constraints,3.2609677419354837,5.25,0.21,1.686470386811283,31,203.895903,0.15203836636187829
2-39-89-25,attack,branch,rb_next,4.118295454545454,12.92,0.08,2.4763846569494214,88,203.895903,0.4315927819304932
2-39-89-25,attack,branch,mutex_lock,3.331538461538462,18.18,0.21,2.689043581761999,91,203.895903,0.4463061722235782
2-39-89-25,attack,branch,memset_erms,4.273896103896106,12.33,0.75,2.6062471284064235,77,203.895903,0.3776436841891816
2-39-89-25,attack,branch,intel_put_event_constraints,3.393666666666667,4.78,0.22,1.7777756022496267,30,203.895903,0.14713390293084996
2-39-89-25,attack,branch,allocate_fake_cpuc,4.797058823529412,10.53,1.49,2.4907472892334,17,203.895903,0.08337587832748164
2-39-89-25,attack,branch,clear_buddies,2.684358974358974,7.3,2.0,1.368915811628033,39,203.895903,0.19127407381010494
2-39-89-25,attack,branch,__srcu_read_unlock,9.341666666666667,24.49,1.52,8.710948655031107,18,203.895903,0.08828034175850998
2-39-89-25,attack,branch,list_add_event,3.5153846153846158,11.35,0.35,2.3826031747620333,52,203.895903,0.25503209841347324
2-39-89-25,attack,branch,perf_event_alloc,6.956268656716417,14.81,0.22,3.4090692116304835,134,203.895903,0.6571980997577965
2-39-89-25,attack,branch,inherit_event.constprop.0,2.591645569620254,6.91,0.2,1.1014017064279624,79,203.895903,0.38745261105123824
2-39-89-25,attack,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,203.895903,0.004904463431028332
2-39-89-25,attack,branch,perf_swevent_init,3.233333333333333,4.64,1.93,0.9840054200392732,6,203.895903,0.02942678058616999
2-39-89-25,attack,branch,calc_timer_values,2.002142857142857,2.83,1.88,0.2732476636941033,14,203.895903,0.06866248803439665
2-39-89-25,attack,branch,_raw_spin_lock_irqsave,4.051818181818182,7.01,2.4,1.5515206616852912,11,203.895903,0.05394909774131165
2-39-89-25,attack,branch,find_vma,6.449333333333332,25.0,1.18,6.387936696468996,15,203.895903,0.07356695146542498
2-39-89-25,attack,branch,merge_sched_in,5.450000000000002,9.86,1.79,2.459954566773182,35,203.895903,0.17165622008599163
2-39-89-25,attack,branch,event_sched_in,4.2562500000000005,8.53,0.1,1.8946502497731659,88,203.895903,0.4315927819304932
2-39-89-25,attack,branch,_raw_spin_lock,1.7208333333333332,2.07,1.68,0.11365484698165859,12,203.895903,0.05885356117233998
2-39-89-25,attack,branch,futex_wait_queue_me,2.0629411764705883,3.84,1.68,0.6547782516421338,17,203.895903,0.08337587832748164
2-39-89-25,attack,branch,x86_get_event_constraints,3.8548837209302325,13.47,0.19,2.61919554070286,86,203.895903,0.4217838550684366
2-39-89-25,attack,branch,should_failslab,2.7877586206896554,8.95,0.43,1.4770751600487877,58,203.895903,0.2844588789996433
2-39-89-25,attack,branch,rcu_read_unlock_strict,4.399166666666667,8.19,1.72,2.254133408705533,12,203.895903,0.05885356117233998
2-39-89-25,attack,branch,kmem_cache_alloc_trace,4.617058823529412,13.47,2.09,2.0826316822010713,34,203.895903,0.16675175665496328
2-39-89-25,attack,branch,perf_event_update_time,4.213846153846154,18.61,1.69,4.186479262505026,26,203.895903,0.12751604920673662
2-39-89-25,attack,branch,x86_setup_perfctr,3.177049180327869,7.26,0.06,1.5860709780905096,61,203.895903,0.2991722692927283
2-39-89-25,attack,branch,perf_iterate_ctx,4.0280000000000005,13.51,1.72,2.4992390636823645,40,203.895903,0.1961785372411333
2-39-89-25,attack,branch,exit_to_user_mode_prepare,2.4433333333333334,2.79,2.07,0.36073998022583165,3,203.895903,0.014713390293084995
2-39-89-25,attack,branch,x86_pmu_hw_config,2.8419999999999996,5.29,1.68,1.0516209710093587,10,203.895903,0.049044634310283323
2-39-89-25,attack,branch,perf_try_init_event,3.3233333333333337,9.42,1.14,1.9267574537845404,36,203.895903,0.17656068351701995
2-39-89-25,attack,branch,fpregs_assert_state_consistent,4.541666666666667,10.3,1.03,3.366795037350716,18,203.895903,0.08828034175850998
2-39-89-25,attack,branch,native_sched_clock,2.0556756756756753,2.57,0.08,0.8849875722308213,37,203.895903,0.18146514694804827
2-39-89-25,attack,branch,change_pte_range,2.8000000000000003,3.27,2.41,0.4355456348076513,3,203.895903,0.014713390293084995
2-39-89-25,attack,branch,memcg_slab_post_alloc_hook,4.026666666666666,5.27,3.01,1.1469234208670311,3,203.895903,0.014713390293084995
2-39-89-25,attack,branch,perf_event_task_output,3.811428571428572,6.22,2.48,1.2747081832250673,7,203.895903,0.03433124401719832
2-39-89-25,attack,branch,intel_cpuc_finish,2.2279661016949155,4.55,0.2,0.8595684154853866,59,203.895903,0.2893633424306716
2-39-89-25,attack,branch,sigprocmask,6.23,7.85,4.61,2.2910259710444136,2,203.895903,0.009808926862056665
2-39-89-25,attack,branch,rb_insert_color,4.991666666666666,8.53,2.67,2.1740783487875195,6,203.895903,0.02942678058616999
2-39-89-25,attack,branch,__perf_event_task_sched_out,3.04,3.98,2.22,0.7177743377970545,5,203.895903,0.024522317155141662
2-39-89-25,attack,branch,__cond_resched,2.0372222222222223,3.42,1.68,0.5338627886678214,18,203.895903,0.08828034175850998
2-39-89-25,attack,branch,intel_get_event_constraints,2.2325,2.83,1.68,0.5033471300537368,4,203.895903,0.01961785372411333
2-39-89-25,attack,branch,kmem_cache_alloc_node_trace,7.306774193548389,32.19,0.98,6.735993792634097,62,203.895903,0.30407673272375657
