id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,__copy_skb_header,2.58125,4.7,1.32,1.160990186989414,8,203.895903,0.03923570744822666
GS_1,attack,branch,dequeue_task_fair,1.8792592592592596,3.1,1.05,0.5704783817513017,27,203.895903,0.13242051263776497
GS_1,attack,branch,enqueue_hrtimer,1.6099999999999999,1.69,1.53,0.11313708498984755,2,203.895903,0.009808926862056665
GS_1,attack,branch,tcp_recvmsg_locked,1.7284615384615383,3.13,1.06,0.49445098986301783,39,203.895903,0.19127407381010494
GS_1,attack,branch,inet_sendmsg,1.837142857142857,2.75,1.13,0.5717142143214062,7,203.895903,0.03433124401719832
GS_1,attack,branch,wake_up_q,2.2466666666666666,2.94,1.63,0.6583565396753748,3,203.895903,0.014713390293084995
GS_1,attack,branch,finish_task_switch.isra.0,1.9751851851851852,3.5,1.05,0.6196858408181853,27,203.895903,0.13242051263776497
GS_1,attack,branch,perf_exclude_event,1.5642857142857143,2.07,1.0,0.3334095151040305,7,203.895903,0.03433124401719832
GS_1,attack,branch,__lock_text_start,1.384,1.67,1.13,0.21628684657186162,5,203.895903,0.024522317155141662
GS_1,attack,branch,enqueue_task_fair,1.0899999999999999,1.19,0.97,0.11135528725660043,3,203.895903,0.014713390293084995
GS_1,attack,branch,__update_load_avg_blocked_se,1.9080000000000001,2.78,1.39,0.5613109655084247,5,203.895903,0.024522317155141662
GS_1,attack,branch,__sk_dst_check,2.2966666666666664,2.92,1.78,0.5774368652357877,3,203.895903,0.014713390293084995
GS_1,attack,branch,ctx_sched_in,1.8222916666666666,3.6,0.98,0.5654794222165425,48,203.895903,0.23541424468935992
GS_1,attack,branch,ip_output,1.443913043478261,2.04,0.93,0.314190722773095,23,203.895903,0.11280265891365164
GS_1,attack,branch,mark_wake_futex,1.47,1.65,1.26,0.19672315572906,3,203.895903,0.014713390293084995
GS_1,attack,branch,tcp_v4_rcv,1.9215384615384616,3.54,1.02,0.5079191869308431,52,203.895903,0.25503209841347324
GS_1,attack,branch,ipv4_mtu,1.6841666666666668,2.48,1.16,0.3766468887271986,12,203.895903,0.05885356117233998
GS_1,attack,branch,tcp_options_write,1.315,1.57,1.06,0.36062445840513924,2,203.895903,0.009808926862056665
GS_1,attack,branch,sk_stream_alloc_skb,1.6951724137931037,3.1,1.08,0.5281275596026235,29,203.895903,0.14222943949982164
GS_1,attack,branch,select_idle_cpu,1.2650000000000001,1.33,1.2,0.09192388155425125,2,203.895903,0.009808926862056665
GS_1,attack,branch,tcp_check_space,1.3425000000000002,1.59,1.18,0.18355289882392675,4,203.895903,0.01961785372411333
GS_1,attack,branch,psi_task_switch,1.4219047619047618,2.62,1.01,0.42677416800480145,21,203.895903,0.10299373205159497
GS_1,attack,branch,neigh_hh_output,1.4980000000000002,2.39,0.92,0.4080826246869972,15,203.895903,0.07356695146542498
GS_1,attack,branch,__fdget,1.5,1.5,1.5,nan,1,203.895903,0.004904463431028332
GS_1,attack,branch,rb_erase,1.0488888888888888,1.59,0.0,0.6131159034889823,9,203.895903,0.04414017087925499
GS_1,attack,branch,tcp_update_skb_after_send,2.3628571428571434,4.67,1.27,1.2437405180303793,7,203.895903,0.03433124401719832
GS_1,attack,branch,psi_group_change,11.888907103825137,18.66,3.9,2.2588696743301946,183,203.895903,0.8975168078781848
