id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,x86_get_event_constraints,2.36,3.96,1.81,0.8113979705832808,7,27.329391,0.2561345036923801
2-39-89-25,attack,branch,perf_event_groups_insert,2.6766666666666663,3.58,2.28,0.5951358388356953,6,27.329391,0.21954386030775438
2-39-89-25,attack,branch,psi_group_change,12.904,24.96,6.57,5.451287717390983,10,27.329391,0.3659064338462573
2-39-89-25,attack,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,27.329391,0.03659064338462573
2-39-89-25,normal,branch,perf_event_groups_first,4.3092500000000005,15.95,3.71,2.202623595880197,40,52.037656,0.7686741309024373
2-39-89-25,normal,branch,update_load_avg,4.583846153846156,10.54,4.24,1.3136081595213747,39,52.037656,0.7494572776298764
2-39-89-25,normal,branch,x86_get_event_constraints,4.47,4.47,4.47,0.0,36,52.037656,0.6918067178121936
2-39-89-25,normal,branch,_raw_spin_lock_irqsave,4.47,4.47,4.47,0.0,36,52.037656,0.6918067178121936
2-39-89-25,normal,branch,___perf_sw_event,4.47,4.47,4.47,0.0,36,52.037656,0.6918067178121936
2-39-89-25,normal,branch,x86_pmu_enable,50.0,100.0,0.0,70.71067811865476,2,52.037656,0.03843370654512186
2-39-89-25,normal,branch,rb_next,4.63390243902439,22.73,3.6,3.584160904625227,41,52.037656,0.7878909841749983
2-39-89-25,normal,branch,psi_group_change,9.215853658536584,20.5,7.2,2.0922523456908313,41,52.037656,0.7878909841749983
2-39-89-25,normal,branch,__update_load_avg_cfs_rq,10.892000000000001,20.5,4.73,6.35002125980693,5,52.037656,0.09608426636280466
2-39-89-25,normal,branch,update_sg_wakeup_stats,4.423513513513514,6.36,4.36,0.3272037779615513,37,52.037656,0.7110235710847544
2-39-89-25,normal,branch,event_sched_in,4.583846153846156,10.54,4.24,1.3136081595213747,39,52.037656,0.7494572776298764
2-39-89-25,normal,branch,perf_pmu_nop_int,4.47,4.47,4.47,0.0,36,52.037656,0.6918067178121936
2-39-89-25,attack,cycles,memset_erms,18.20833333333334,42.86,9.21,13.690011565614787,6,27.329391,0.21954386030775438
2-39-89-25,attack,cycles,native_write_msr,0.0,0.0,0.0,nan,1,27.329391,0.03659064338462573
2-39-89-25,normal,cycles,native_sched_clock,5.692,9.5,2.95,2.598532278036969,5,52.037656,0.09608426636280466
2-39-89-25,normal,cycles,perf_event_update_userpage,4.362,6.18,2.44,1.7647719399401158,5,52.037656,0.09608426636280466
2-39-89-25,normal,cycles,perf_event_alloc,7.988181818181818,8.7,7.91,0.23612785442713757,11,52.037656,0.21138538599817025
2-39-89-25,normal,cycles,entry_SYSCALL_64_after_hwframe,6.8213636363636345,10.92,2.06,3.893483316730962,22,52.037656,0.4227707719963405
2-39-89-25,normal,cycles,inherit_event.constprop.0,5.337777777777778,8.14,2.46,1.98441917054952,9,52.037656,0.1729516794530484
2-39-89-25,normal,cycles,__hrtimer_init,3.5060000000000002,5.35,2.33,1.1618218452069144,5,52.037656,0.09608426636280466
2-39-89-25,normal,cycles,native_write_msr,2.594347826086957,5.49,0.0,1.1697079125963519,23,52.037656,0.44198762526890145
2-39-89-25,normal,cycles,psi_group_change,3.4438461538461533,9.44,1.92,1.9581155776369834,26,52.037656,0.49963818508658425
2-39-89-25,normal,cycles,do_syscall_64,12.171428571428573,14.53,7.89,2.3460239920828965,14,52.037656,0.26903594581585305
2-39-89-25,normal,cycles,merge_sched_in,4.79173913043478,8.14,3.57,1.3770675436458613,23,52.037656,0.44198762526890145
2-39-89-25,normal,cycles,perf_swevent_add,5.2059999999999995,8.53,1.71,2.3128971730998615,10,52.037656,0.19216853272560933
2-39-89-25,normal,cycles,event_sched_in,4.0,6.18,2.19,1.8104695523537533,6,52.037656,0.11530111963536559
2-39-89-25,normal,cycles,sched_clock_cpu,5.594444444444444,8.53,2.58,2.0786240106805693,9,52.037656,0.1729516794530484
2-39-89-25,normal,cycles,syscall_exit_to_user_mode,5.7965,8.28,4.62,1.478179089641249,20,52.037656,0.38433706545121865
2-39-89-25,normal,cycles,syscall_return_via_sysret,4.819999999999999,8.11,2.41,2.1715547425750055,5,52.037656,0.09608426636280466
2-39-89-25,normal,cycles,rb_next,6.160000000000001,8.14,3.91,1.3043389130130252,7,52.037656,0.13451797290792653
2-39-89-25,normal,cycles,kmem_cache_alloc_trace,4.0,6.18,2.19,1.8104695523537533,6,52.037656,0.11530111963536559
2-39-89-25,normal,cycles,memset_erms,6.466363636363635,15.69,2.38,4.273500374932176,11,52.037656,0.21138538599817025
2-39-89-25,normal,cycles,visit_groups_merge.constprop.0.is,5.594444444444444,8.53,2.58,2.0786240106805693,9,52.037656,0.1729516794530484
2-39-89-25,attack,instructions,perf_event_alloc,7.025,9.09,4.96,2.920351006300441,2,27.329391,0.07318128676925147
2-39-89-25,attack,instructions,inherit_task_group.isra.0,3.2960000000000003,5.67,2.55,1.353137095788893,5,27.329391,0.18295321692312866
2-39-89-25,attack,instructions,psi_group_change,6.33,7.59,5.67,0.7319836063738039,5,27.329391,0.18295321692312866
2-39-89-25,attack,instructions,kfree,6.671666666666667,10.64,4.79,2.560003255206264,6,27.329391,0.21954386030775438
2-39-89-25,normal,instructions,intel_pmu_event_map,8.1275,13.85,3.82,4.264187105025607,4,52.037656,0.07686741309024372
2-39-89-25,normal,instructions,perf_event_alloc,4.032500000000001,5.84,2.28,0.7437971896016142,28,52.037656,0.5380718916317061
2-39-89-25,normal,instructions,__hrtimer_init,2.385,3.05,1.78,0.5568063696953666,4,52.037656,0.07686741309024372
2-39-89-25,normal,instructions,memcg_slab_free_hook,2.992,4.71,2.32,0.5085190917425486,25,52.037656,0.4804213318140233
2-39-89-25,normal,instructions,merge_sched_in,3.673333333333333,6.4,1.91,1.499666629621397,9,52.037656,0.1729516794530484
2-39-89-25,normal,instructions,ctx_sched_in,2.124,2.97,1.52,0.5876478537355515,5,52.037656,0.09608426636280466
2-39-89-25,normal,instructions,rb_next,2.8315384615384613,4.44,2.21,0.5341811850501089,26,52.037656,0.49963818508658425
2-39-89-25,normal,instructions,psi_group_change,6.376896551724138,7.88,2.79,1.3290117258653829,29,52.037656,0.557288744904267
2-39-89-25,normal,instructions,arch_perf_update_userpage,3.564,5.71,2.28,1.3311761716617376,5,52.037656,0.09608426636280466
2-39-89-25,normal,instructions,perf_event_update_time,2.580740740740741,5.71,2.06,0.8177592551785637,27,52.037656,0.5188550383591451
2-39-139-28,attack,branch,x86_get_event_constraints,2.1199999999999997,2.4,1.63,0.42579337712087545,3,27.329391,0.10977193015387719
2-39-139-28,attack,branch,perf_event_groups_insert,6.8114285714285705,10.87,4.73,2.247957803366043,7,27.329391,0.2561345036923801
2-39-139-28,attack,branch,psi_group_change,9.572857142857142,12.01,4.88,2.340838270689329,7,27.329391,0.2561345036923801
2-39-139-28,attack,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,27.329391,0.03659064338462573
2-39-139-28,normal,branch,perf_event_groups_first,4.65,4.65,4.65,nan,1,52.037656,0.01921685327256093
2-39-139-28,normal,branch,update_load_avg,1.39,1.39,1.39,nan,1,52.037656,0.01921685327256093
2-39-139-28,normal,branch,x86_get_event_constraints,1.49,1.49,1.49,nan,1,52.037656,0.01921685327256093
2-39-139-28,normal,branch,_raw_spin_lock_irqsave,2.832,5.0,1.49,1.4449809687328066,5,52.037656,0.09608426636280466
2-39-139-28,normal,branch,___perf_sw_event,1.51,1.6,1.42,0.1272792206135787,2,52.037656,0.03843370654512186
2-39-139-28,normal,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,52.037656,0.01921685327256093
2-39-139-28,normal,branch,rb_next,2.6143333333333327,10.0,1.33,1.7796990898954559,30,52.037656,0.576505598176828
2-39-139-28,normal,branch,psi_group_change,9.227096774193551,18.29,4.65,2.3067021098650597,31,52.037656,0.5957224514493888
2-39-139-28,normal,branch,__update_load_avg_cfs_rq,1.8599999999999999,2.31,1.5,0.34995237771254917,4,52.037656,0.07686741309024372
2-39-139-28,normal,branch,update_sg_wakeup_stats,2.18,2.18,2.18,0.0,15,52.037656,0.288252799088414
2-39-139-28,normal,branch,event_sched_in,1.9464705882352944,2.93,1.86,0.2713148810992173,17,52.037656,0.32668650563353585
2-39-139-28,normal,branch,perf_pmu_nop_int,3.072,6.3,1.45,1.963025725761127,5,52.037656,0.09608426636280466
2-39-139-28,attack,cycles,memset_erms,7.3575,10.08,6.24,1.8295058531381272,4,27.329391,0.14636257353850293
2-39-139-28,attack,cycles,native_write_msr,0.0,0.0,0.0,nan,1,27.329391,0.03659064338462573
2-39-139-28,normal,cycles,native_sched_clock,4.388888888888889,11.45,1.56,3.224191543799951,9,52.037656,0.1729516794530484
2-39-139-28,normal,cycles,perf_event_update_userpage,3.9154838709677424,17.45,1.43,3.301610555178264,31,52.037656,0.5957224514493888
2-39-139-28,normal,cycles,perf_event_alloc,3.02,4.61,2.02,0.9015098446495192,6,52.037656,0.11530111963536559
2-39-139-28,normal,cycles,entry_SYSCALL_64_after_hwframe,2.2131578947368427,3.73,1.24,0.6318144297847356,19,52.037656,0.3651202121786577
2-39-139-28,normal,cycles,inherit_event.constprop.0,1.6600000000000001,1.84,1.48,0.2545584412271572,2,52.037656,0.03843370654512186
2-39-139-28,normal,cycles,__hrtimer_init,7.031818181818182,24.97,1.53,7.529606653978438,11,52.037656,0.21138538599817025
2-39-139-28,normal,cycles,native_write_msr,1.4725000000000001,1.99,0.0,0.6168989266600208,8,52.037656,0.15373482618048745
2-39-139-28,normal,cycles,psi_group_change,4.386875,11.61,1.72,2.729287319831598,32,52.037656,0.6149393047219498
2-39-139-28,normal,cycles,do_syscall_64,1.61,1.92,1.43,0.26962937525425523,3,52.037656,0.057650559817682794
2-39-139-28,normal,cycles,merge_sched_in,5.0928571428571425,11.12,1.55,3.5362113166764337,7,52.037656,0.13451797290792653
2-39-139-28,normal,cycles,perf_swevent_add,2.066153846153846,2.98,1.41,0.4952699341695473,13,52.037656,0.24981909254329213
2-39-139-28,normal,cycles,event_sched_in,1.8914285714285712,2.41,1.46,0.3719959037152861,7,52.037656,0.13451797290792653
2-39-139-28,normal,cycles,sched_clock_cpu,1.83875,2.52,1.43,0.3741060773936414,8,52.037656,0.15373482618048745
2-39-139-28,normal,cycles,syscall_exit_to_user_mode,3.048235294117647,6.37,1.48,1.2355476280485793,17,52.037656,0.32668650563353585
2-39-139-28,normal,cycles,syscall_return_via_sysret,2.951666666666667,4.4,1.34,1.068441690996202,18,52.037656,0.3459033589060968
2-39-139-28,normal,cycles,rb_next,2.87125,4.16,1.63,0.8073485410073314,16,52.037656,0.3074696523609749
2-39-139-28,normal,cycles,kmem_cache_alloc_trace,1.3,1.3,1.3,nan,1,52.037656,0.01921685327256093
2-39-139-28,normal,cycles,memset_erms,2.3462500000000004,4.19,1.41,0.9371985229547535,8,52.037656,0.15373482618048745
2-39-139-28,normal,cycles,visit_groups_merge.constprop.0.is,2.768333333333333,5.02,0.97,1.2162747396966864,12,52.037656,0.23060223927073117
2-39-139-28,attack,instructions,perf_event_alloc,7.4125000000000005,9.39,5.42,1.8111575488252445,4,27.329391,0.14636257353850293
2-39-139-28,attack,instructions,inherit_task_group.isra.0,4.35,5.61,3.09,1.7819090885901,2,27.329391,0.07318128676925147
2-39-139-28,attack,instructions,psi_group_change,11.709999999999999,16.64,8.15,3.8870811671484304,4,27.329391,0.14636257353850293
2-39-139-28,attack,instructions,kfree,5.1000000000000005,6.56,4.13,1.2869731931940152,3,27.329391,0.10977193015387719
2-39-139-28,normal,instructions,intel_pmu_event_map,6.2175,9.97,3.6,2.8552101498838924,4,52.037656,0.07686741309024372
2-39-139-28,normal,instructions,perf_event_alloc,3.1094444444444442,4.48,1.79,0.9156898538788841,18,52.037656,0.3459033589060968
2-39-139-28,normal,instructions,__hrtimer_init,2.0549999999999997,2.15,1.96,0.134350288425444,2,52.037656,0.03843370654512186
2-39-139-28,normal,instructions,memcg_slab_free_hook,2.017777777777778,2.93,1.36,0.6187442480091789,9,52.037656,0.1729516794530484
2-39-139-28,normal,instructions,merge_sched_in,3.21421052631579,5.91,1.4,1.2697826401460899,19,52.037656,0.3651202121786577
2-39-139-28,normal,instructions,ctx_sched_in,2.328333333333333,3.98,0.17,1.3892040450516545,12,52.037656,0.23060223927073117
2-39-139-28,normal,instructions,rb_next,4.273157894736843,8.06,1.5,2.439613021752924,19,52.037656,0.3651202121786577
2-39-139-28,normal,instructions,psi_group_change,5.639142857142857,10.9,2.44,1.97356853772785,35,52.037656,0.6725898645396327
2-39-139-28,normal,instructions,arch_perf_update_userpage,3.6559999999999997,7.06,1.57,1.5601629188431998,25,52.037656,0.4804213318140233
2-39-139-28,normal,instructions,perf_event_update_time,2.1652941176470586,3.17,1.37,0.4391770378654094,17,52.037656,0.32668650563353585
2-39-131-30,attack,branch,x86_get_event_constraints,22.4175,33.33,18.78,7.274999999999999,4,27.329391,0.14636257353850293
2-39-131-30,attack,branch,perf_event_groups_insert,22.4175,33.33,18.78,7.274999999999999,4,27.329391,0.14636257353850293
2-39-131-30,attack,branch,psi_group_change,43.66,43.66,43.66,0.0,3,27.329391,0.10977193015387719
2-39-131-30,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,27.329391,0.03659064338462573
2-39-131-30,normal,branch,perf_event_groups_first,4.6225,6.84,2.11,1.5866876288604976,20,52.037656,0.38433706545121865
2-39-131-30,normal,branch,update_load_avg,2.0410526315789475,2.79,1.21,0.5942118471540647,19,52.037656,0.3651202121786577
2-39-131-30,normal,branch,x86_get_event_constraints,1.8299999999999998,2.01,1.59,0.21633307652783923,3,52.037656,0.057650559817682794
2-39-131-30,normal,branch,_raw_spin_lock_irqsave,6.390000000000001,8.14,4.64,2.4748737341529172,2,52.037656,0.03843370654512186
2-39-131-30,normal,branch,___perf_sw_event,2.1666666666666665,2.6,1.67,0.4682235933112869,3,52.037656,0.057650559817682794
2-39-131-30,normal,branch,x86_pmu_enable,17.283333333333335,51.85,0.0,29.935611457482096,3,52.037656,0.057650559817682794
2-39-131-30,normal,branch,rb_next,5.484347826086958,11.17,1.52,3.4713094543793184,23,52.037656,0.44198762526890145
2-39-131-30,normal,branch,psi_group_change,9.618863636363637,15.6,3.93,3.4382291385071326,44,52.037656,0.845541543992681
2-39-131-30,normal,branch,__update_load_avg_cfs_rq,3.3823076923076916,9.2,1.6,2.114285355410325,13,52.037656,0.24981909254329213
2-39-131-30,normal,branch,update_sg_wakeup_stats,2.0533333333333332,2.4,1.74,0.33126021996812915,3,52.037656,0.057650559817682794
2-39-131-30,normal,branch,event_sched_in,6.2535,9.92,2.02,2.0789118825444755,40,52.037656,0.7686741309024373
2-39-131-30,normal,branch,perf_pmu_nop_int,2.37,2.59,2.15,0.31112698372208086,2,52.037656,0.03843370654512186
2-39-131-30,attack,cycles,memset_erms,4.631428571428572,6.81,3.95,1.0604311791503895,7,27.329391,0.2561345036923801
2-39-131-30,attack,cycles,native_write_msr,15.128888888888888,100.0,0.0,33.99659999339803,9,27.329391,0.32931579046163156
2-39-131-30,normal,cycles,native_sched_clock,2.415,2.85,2.06,0.3315116890850156,4,52.037656,0.07686741309024372
2-39-131-30,normal,cycles,perf_event_update_userpage,3.7839130434782615,6.55,1.81,1.5577978020573982,23,52.037656,0.44198762526890145
2-39-131-30,normal,cycles,perf_event_alloc,4.321666666666667,10.57,1.84,1.9162873330628534,36,52.037656,0.6918067178121936
2-39-131-30,normal,cycles,entry_SYSCALL_64_after_hwframe,3.6510000000000007,7.63,2.24,1.613563688788818,10,52.037656,0.19216853272560933
2-39-131-30,normal,cycles,inherit_event.constprop.0,4.338421052631578,9.6,1.81,1.9262665765611486,19,52.037656,0.3651202121786577
2-39-131-30,normal,cycles,__hrtimer_init,5.157857142857144,11.8,2.75,2.6581664547388493,14,52.037656,0.26903594581585305
2-39-131-30,normal,cycles,native_write_msr,0.0,0.0,0.0,nan,1,52.037656,0.01921685327256093
2-39-131-30,normal,cycles,psi_group_change,4.0112499999999995,9.46,1.45,2.17372113826878,24,52.037656,0.46120447854146235
2-39-131-30,normal,cycles,do_syscall_64,3.5678947368421055,11.8,1.64,2.561103449139254,19,52.037656,0.3651202121786577
2-39-131-30,normal,cycles,merge_sched_in,4.934722222222223,8.81,1.99,1.7182108403986665,36,52.037656,0.6918067178121936
