id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,dequeue_task_fair,2.1133333333333333,3.4,0.02,1.448512574762568,54,362.421053,0.14899796673787602
2-39-89-25,attack,branch,___slab_alloc,5.606923076923077,14.61,1.56,4.119549701555953,13,362.421053,0.03586988088134052
2-39-89-25,attack,branch,perf_event_init_context,2.685492957746478,8.01,0.0,1.7259778087734137,71,362.421053,0.1959047340442444
2-39-89-25,attack,branch,intel_pmu_hw_config.part.0,11.310769230769232,49.99,1.61,14.384288570948083,13,362.421053,0.03586988088134052
2-39-89-25,attack,branch,finish_task_switch.isra.0,2.2741463414634144,3.49,0.26,0.6242514541823516,41,362.421053,0.1131280858565355
2-39-89-25,attack,branch,__lock_text_start,3.798333333333333,5.08,1.41,1.3404967770179093,30,362.421053,0.0827766481877089
2-39-89-25,attack,branch,ctx_sched_in,4.122592592592592,16.79,0.66,3.2872344201127928,54,362.421053,0.14899796673787602
2-39-89-25,attack,branch,psi_task_switch,3.022153846153846,8.94,0.02,2.092690024456928,65,362.421053,0.17934940440670263
2-39-89-25,attack,branch,inherit_task_group.isra.0,7.699245283018868,30.89,1.01,7.06002747027141,53,362.421053,0.14623874513161905
2-39-89-25,attack,branch,rb_erase,2.296282051282051,8.91,0.59,1.454348704121593,78,362.421053,0.21521928528804316
2-39-89-25,attack,branch,hsw_hw_config,6.639,17.87,1.97,5.155173129973425,10,362.421053,0.027592216062569633
2-39-89-25,attack,branch,psi_group_change,8.828526645768026,24.05,0.0,3.7205103827211103,319,362.421053,0.8801916923959713
2-39-89-25,attack,branch,switch_fpu_return,2.1478260869565218,7.57,0.0,1.4844407439337686,69,362.421053,0.19038629083173048
2-39-89-25,attack,branch,x86_reserve_hardware,2.0818181818181816,7.81,0.0,1.4315069081118774,66,362.421053,0.18210862601295957
2-39-89-25,attack,branch,perf_event_groups_first,3.3907692307692305,6.32,1.49,1.4877077532144405,13,362.421053,0.03586988088134052
2-39-89-25,attack,branch,dequeue_entity,2.858,3.58,2.14,0.5709816109122955,5,362.421053,0.013796108031284816
2-39-89-25,attack,branch,sched_clock_cpu,3.168,4.05,2.41,0.6302539170842176,5,362.421053,0.013796108031284816
2-39-89-25,attack,branch,rcu_all_qs,3.72304347826087,5.24,1.75,1.0854300981747815,23,362.421053,0.06346209694391015
2-39-89-25,attack,branch,x86_pmu_event_init,3.574880952380952,9.09,0.01,2.241560608495904,84,362.421053,0.23177461492558493
2-39-89-25,attack,branch,alloc_vmap_area,2.94375,5.48,1.56,1.3674683334019633,8,362.421053,0.02207377285005571
2-39-89-25,attack,branch,perf_pmu_nop_int,3.8769230769230765,9.09,1.99,2.0705208065258387,13,362.421053,0.03586988088134052
2-39-89-25,attack,branch,__update_load_avg_cfs_rq,4.924615384615385,9.82,1.83,2.741263745624803,13,362.421053,0.03586988088134052
2-39-89-25,attack,branch,visit_groups_merge.constprop.0.is,3.692857142857143,9.09,1.55,2.0841837678146278,14,362.421053,0.03862910248759749
2-39-89-25,attack,branch,__update_load_avg_se,3.0843601895734603,9.55,0.0,1.9901993063935777,211,362.421053,0.5821957589202192
2-39-89-25,attack,branch,memcg_slab_free_hook,5.279593023255815,52.93,0.0,8.380283694730245,172,362.421053,0.47458611627619773
2-39-89-25,attack,branch,update_sg_wakeup_stats,5.214606741573033,13.16,0.0,3.631262424230257,178,362.421053,0.4911414459137395
2-39-89-25,attack,branch,arch_perf_update_userpage,2.439615384615385,5.63,0.04,1.4107752702457128,78,362.421053,0.21521928528804316
2-39-89-25,attack,branch,perf_event_update_userpage,2.5003125,4.8,0.05,1.0526519326300794,64,362.421053,0.17659018280044567
2-39-89-25,attack,branch,kmem_cache_alloc_node,4.891454545454547,16.19,0.0,2.995251237372109,110,362.421053,0.303514376688266
2-39-89-25,attack,branch,perf_init_event,3.7437500000000004,5.2,2.67,0.8633479268852987,8,362.421053,0.02207377285005571
2-39-89-25,attack,branch,account_event,2.6898947368421053,10.6,0.59,2.0171079437865744,95,362.421053,0.2621260525944115
2-39-89-25,attack,branch,mutex_unlock,2.626,3.37,2.03,0.5189219594505518,5,362.421053,0.013796108031284816
2-39-89-25,attack,branch,perf_swevent_add,4.725454545454546,9.39,2.07,2.423362802538504,11,362.421053,0.030351437668826597
2-39-89-25,attack,branch,timerqueue_add,6.2790909090909075,10.86,0.38,4.297934065273364,22,362.421053,0.060702875337653193
2-39-89-25,attack,branch,hsw_get_event_constraints,5.314782608695652,17.87,1.67,3.781351212998792,23,362.421053,0.06346209694391015
2-39-89-25,attack,branch,rb_next,5.666741071428572,77.55,0.0,9.136563149934721,224,362.421053,0.6180656398015598
2-39-89-25,attack,branch,mutex_lock,4.246666666666667,20.24,1.4,3.1459030008976607,42,362.421053,0.11588730746279247
2-39-89-25,attack,branch,memset_erms,4.482824858757062,22.05,0.0,3.642749326628349,177,362.421053,0.4883822243074825
2-39-89-25,attack,branch,update_cfs_group,3.94,5.54,2.33,1.2916655913974018,6,362.421053,0.01655532963754178
2-39-89-25,attack,branch,allocate_fake_cpuc,4.303076923076923,8.98,1.98,2.334410648734082,13,362.421053,0.03586988088134052
2-39-89-25,attack,branch,clear_buddies,6.061481481481481,18.27,0.54,4.479345508256333,27,362.421053,0.07449898336893801
2-39-89-25,attack,branch,enqueue_entity,4.377142857142857,7.87,2.27,1.666342972229577,14,362.421053,0.03862910248759749
2-39-89-25,attack,branch,__srcu_read_unlock,4.938000000000001,8.64,2.73,2.350833894599957,5,362.421053,0.013796108031284816
2-39-89-25,attack,branch,perf_event_alloc,4.463426966292135,22.05,0.0,3.118407178479762,178,362.421053,0.4911414459137395
2-39-89-25,attack,branch,inherit_event.constprop.0,4.381212121212121,11.81,0.81,2.93227701366165,33,362.421053,0.09105431300647979
2-39-89-25,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,362.421053,0.0027592216062569635
2-39-89-25,attack,branch,calc_timer_values,2.622,3.41,1.98,0.5629120712864488,5,362.421053,0.013796108031284816
2-39-89-25,attack,branch,_raw_spin_lock_irqsave,3.106338028169014,9.36,0.09,1.5999591418324413,71,362.421053,0.1959047340442444
2-39-89-25,attack,branch,merge_sched_in,4.459327731092437,20.26,0.06,3.3233604932286966,119,362.421053,0.3283473711445786
2-39-89-25,attack,branch,event_sched_in,5.165730337078652,18.95,0.91,3.9794631569301737,89,362.421053,0.24557072295686974
2-39-89-25,attack,branch,_raw_spin_lock,5.9572972972972975,11.23,0.38,3.6145966800127445,37,362.421053,0.10209119943150764
2-39-89-25,attack,branch,__put_user_nocheck_8,3.34516129032258,7.78,1.33,1.4993417910708722,31,362.421053,0.08553586979396587
2-39-89-25,attack,branch,x86_get_event_constraints,3.623529411764706,9.82,1.34,1.9090886030034466,51,362.421053,0.14072030191910515
2-39-89-25,attack,branch,should_failslab,4.03090909090909,8.48,1.8,1.8465899307356715,22,362.421053,0.060702875337653193
2-39-89-25,attack,branch,rcu_read_unlock_strict,7.605000000000001,12.44,0.49,5.539047514548061,20,362.421053,0.055184432125139266
2-39-89-25,attack,branch,kmem_cache_alloc_trace,5.0268333333333315,10.87,0.56,2.9235464252453673,60,362.421053,0.1655532963754178
2-39-89-25,attack,branch,perf_event_update_time,2.4442857142857144,3.48,1.59,0.7095504948641109,7,362.421053,0.019314551243798744
2-39-89-25,attack,branch,exit_to_user_mode_prepare,4.005714285714286,7.6,1.8,2.027147890862571,7,362.421053,0.019314551243798744
2-39-89-25,attack,branch,perf_iterate_ctx,3.7845689655172405,15.28,0.71,2.855137670400769,116,362.421053,0.3200697063258078
2-39-89-25,attack,branch,x86_setup_perfctr,2.9713636363636367,9.09,0.01,1.8962510999508444,88,362.421053,0.24281150135061277
2-39-89-25,attack,branch,x86_pmu_hw_config,4.335142857142857,9.63,1.83,2.0896205276508537,35,362.421053,0.09657275621899372
2-39-89-25,attack,branch,perf_try_init_event,8.266333333333334,30.89,1.28,8.454551307792268,30,362.421053,0.0827766481877089
2-39-89-25,attack,branch,native_sched_clock,3.623125,7.47,1.29,1.9610293852974259,16,362.421053,0.04414754570011142
2-39-89-25,attack,branch,perf_log_itrace_start,1.693493975903614,8.68,0.29,1.5966110708461947,83,362.421053,0.22901539331932796
2-39-89-25,attack,branch,perf_event__id_header_size,5.612399999999999,23.49,1.7,6.181705050658219,25,362.421053,0.06898054015642409
2-39-89-25,attack,branch,perf_event_task_output,2.6108823529411764,10.13,0.0,1.5239344276980638,170,362.421053,0.4690676730636838
2-39-89-25,attack,branch,intel_cpuc_finish,10.382857142857144,23.06,1.62,8.688052298832732,14,362.421053,0.03862910248759749
2-39-89-25,attack,branch,rb_insert_color,4.322777777777778,9.41,0.0,2.256401753533462,144,362.421053,0.39732791130100276
2-39-89-25,attack,branch,__cond_resched,2.5850000000000004,3.46,1.8,0.6260910476919471,6,362.421053,0.01655532963754178
2-39-89-25,attack,branch,intel_get_event_constraints,5.050363636363634,23.97,1.01,6.144782780609529,55,362.421053,0.151757188344133
2-39-89-25,attack,branch,kmem_cache_alloc_node_trace,7.676458333333334,13.16,0.0,3.2408660243396814,96,362.421053,0.2648852742006685
2-39-89-25,attack,branch,reweight_entity,3.2937404580152667,9.5,0.0,1.532934007249277,131,362.421053,0.36145803041966224
2-39-89-25,attack,branch,kfree,3.9294202898550723,18.18,0.0,2.988460475202589,138,362.421053,0.38077258166346095
2-39-89-25,attack,branch,copy_process,5.858023255813953,9.09,0.0,1.8191418919320768,86,362.421053,0.23729305813809887
2-39-89-25,attack,branch,__srcu_read_lock,2.6671000000000005,9.96,0.59,1.9356993333394812,100,362.421053,0.27592216062569636
2-39-89-25,attack,branch,update_load_avg,4.665151515151516,13.85,2.0,2.3353815550303048,33,362.421053,0.09105431300647979
2-39-89-25,attack,branch,find_idlest_group,5.140714285714286,8.24,2.45,1.776480809334586,14,362.421053,0.03862910248759749
2-39-89-25,attack,branch,pick_next_task_fair,3.737000000000001,7.71,1.64,1.7053448485956086,20,362.421053,0.055184432125139266
2-39-89-25,attack,branch,x86_pmu_extra_regs,3.2875,4.21,2.56,0.7083019600895275,4,362.421053,0.011036886425027854
