id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,select_estimate_accuracy,3.7586153846153842,15.48,0.06,3.1400437282599447,65,362.421053,0.17934940440670263
GS_1,attack,branch,dequeue_task_fair,2.835433070866142,10.39,0.02,1.5098689924802056,127,362.421053,0.35042114399463437
GS_1,attack,branch,enqueue_hrtimer,3.045,3.31,2.78,0.37476659402887036,2,362.421053,0.005518443212513927
GS_1,attack,branch,finish_task_switch.isra.0,1.9601587301587293,6.04,0.12,1.0008053080999035,63,362.421053,0.1738309611941887
GS_1,attack,branch,do_sys_poll,5.836862745098038,8.72,0.11,3.164972979471438,51,362.421053,0.14072030191910515
GS_1,attack,branch,perf_exclude_event,2.2249999999999996,2.53,1.92,0.4313351365237939,2,362.421053,0.005518443212513927
GS_1,attack,branch,__lock_text_start,2.7304166666666667,4.38,0.38,1.6732693308679234,24,362.421053,0.06622131855016712
GS_1,attack,branch,ctx_sched_in,2.0034074074074075,9.37,0.02,1.8184162220627966,135,362.421053,0.37249491684469005
GS_1,attack,branch,psi_flags_change,2.0375,2.54,1.64,0.38612390066747576,4,362.421053,0.011036886425027854
GS_1,attack,branch,hrtimer_start_range_ns,3.1674074074074072,7.0,0.01,1.5076298844953095,54,362.421053,0.14899796673787602
GS_1,attack,branch,security_file_ioctl,2.5958974358974345,12.27,0.03,1.7868192997959291,78,362.421053,0.21521928528804316
GS_1,attack,branch,psi_task_switch,3.4328947368421057,7.89,0.1,1.5736698643950897,76,362.421053,0.20970084207552922
GS_1,attack,branch,__fdget,2.04,2.56,1.51,0.4367493560384491,5,362.421053,0.013796108031284816
GS_1,attack,branch,rb_erase,7.566923076923076,32.52,1.35,8.527394467846342,13,362.421053,0.03586988088134052
GS_1,attack,branch,psi_group_change,15.732818181818182,63.8,0.21,8.03768046337247,330,362.421053,0.9105431300647979
GS_1,attack,branch,switch_fpu_return,3.0022727272727274,8.5,0.02,1.2166673212630348,66,362.421053,0.18210862601295957
GS_1,attack,branch,sock_poll,2.9492708333333333,5.83,0.37,1.2145280606423705,96,362.421053,0.2648852742006685
GS_1,attack,branch,perf_event_groups_first,3.4409248554913305,9.77,0.06,1.7207925635142822,173,362.421053,0.4773453378824547
GS_1,attack,branch,dequeue_entity,1.8566666666666665,2.19,1.55,0.3208322510804257,3,362.421053,0.00827766481877089
GS_1,attack,branch,dequeue_task,3.616428571428572,5.99,0.05,2.1460352796733764,42,362.421053,0.11588730746279247
GS_1,attack,branch,sched_clock_cpu,2.910909090909091,5.27,1.33,1.2814246333316255,11,362.421053,0.030351437668826597
GS_1,attack,branch,do_poll.constprop.0,2.580701754385965,6.09,0.07,1.1469631636399082,57,362.421053,0.15727563155664692
GS_1,attack,branch,perf_pmu_nop_int,3.1883809523809528,11.07,0.18,1.6169118974913526,105,362.421053,0.28971826865698114
GS_1,attack,branch,__update_load_avg_cfs_rq,4.125915492957746,28.31,0.01,4.765340760132872,142,362.421053,0.3918094680884888
GS_1,attack,branch,__fget_light,2.904583333333333,12.49,0.64,1.8039150986392336,72,362.421053,0.19866395565050138
GS_1,attack,branch,visit_groups_merge.constprop.0.is,4.699337979094077,24.0,0.03,4.978408406257628,287,362.421053,0.7918966009957485
GS_1,attack,branch,fput,2.862777777777778,8.57,1.61,1.5710680827497334,36,362.421053,0.09933197782525069
