id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,28.747327,0.03478584287158246
2-39-89-25,normal,branch,x86_reserve_hardware,7.936521739130433,11.16,5.95,1.8285826818894264,23,51.751751,0.4444294068426786
2-39-89-25,normal,branch,kmem_cache_alloc_node_trace,3.6166666666666667,9.08,2.43,1.4791321388090959,24,51.751751,0.46375242453149074
2-39-89-25,normal,branch,merge_sched_in,10.411538461538463,23.98,6.42,4.828331962330423,26,51.751751,0.502398459909115
2-39-89-25,normal,branch,ctx_sched_in,8.962352941176471,11.48,7.39,1.6394340845691417,17,51.751751,0.3284913007098059
2-39-89-25,normal,branch,psi_group_change,10.940384615384614,21.05,4.58,3.4522751695300657,26,51.751751,0.502398459909115
2-39-89-25,normal,branch,__update_load_avg_cfs_rq,24.59,24.59,24.59,0.0,8,51.751751,0.1545841415104969
2-39-89-25,normal,branch,kmem_cache_alloc_trace,3.861739130434783,6.83,2.78,1.0643976195436171,23,51.751751,0.4444294068426786
2-39-89-25,normal,branch,memset_erms,3.4747999999999997,10.92,2.13,2.002053362592182,25,51.751751,0.48307544222030285
2-39-89-25,attack,cycles,native_write_msr,12.898333333333333,77.39,0.0,31.594335198998365,6,28.747327,0.20871505722949477
2-39-89-25,normal,cycles,perf_event_alloc,10.365833333333333,15.21,2.34,4.124164122600474,24,51.751751,0.46375242453149074
2-39-89-25,normal,cycles,inherit_event.constprop.0,3.1315789473684212,5.14,2.64,0.6353149976183707,19,51.751751,0.36713733608743016
2-39-89-25,normal,cycles,native_write_msr,0.0,0.0,0.0,nan,1,51.751751,0.019323017688812113
2-39-89-25,normal,cycles,psi_group_change,4.660869565217393,6.72,2.42,0.9290215431667792,23,51.751751,0.4444294068426786
2-39-89-25,normal,cycles,memset_erms,7.096666666666667,14.29,3.01,4.199288828678811,6,51.751751,0.11593810613287268
2-39-89-25,normal,cycles,syscall_exit_to_user_mode,4.758571428571429,14.29,1.81,3.969015351084304,21,51.751751,0.4057833714650544
2-39-89-25,normal,instructions,slab_free_freelist_hook.constprop,6.406666666666666,15.32,2.94,4.551262096019814,6,51.751751,0.11593810613287268
2-39-89-25,normal,instructions,x86_setup_perfctr,3.1476470588235292,3.71,2.88,0.2599165590089613,17,51.751751,0.3284913007098059
2-39-89-25,normal,instructions,perf_event_alloc,3.914782608695653,6.36,2.99,0.8361376004920017,23,51.751751,0.4444294068426786
2-39-89-25,normal,instructions,kmem_cache_alloc_node,3.3674999999999997,4.58,2.52,0.8897705696788734,4,51.751751,0.07729207075524845
2-39-89-25,normal,instructions,entry_SYSCALL_64_after_hwframe,3.3288235294117645,3.93,3.04,0.27946114114804,17,51.751751,0.3284913007098059
2-39-89-25,normal,instructions,inherit_event.constprop.0,3.8320000000000007,5.73,2.24,1.3580022091292783,5,51.751751,0.09661508844406057
2-39-89-25,normal,instructions,inherit_task_group.isra.0,2.986111111111111,4.25,2.66,0.3941056724353909,18,51.751751,0.34781431839861804
2-39-89-25,normal,instructions,rb_next,4.8500000000000005,7.87,2.66,1.8188457878555842,6,51.751751,0.11593810613287268
