id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,enqueue_hrtimer,0.95,0.95,0.95,nan,1,28.747327,0.03478584287158246
GS_1,attack,branch,psi_task_change,4.556666666666667,9.19,1.84,2.8247666570296857,6,28.747327,0.20871505722949477
GS_1,attack,branch,perf_event_update_time,6.08,6.08,6.08,nan,1,28.747327,0.03478584287158246
GS_1,attack,branch,__update_load_avg_se,0.95,0.95,0.95,nan,1,28.747327,0.03478584287158246
GS_1,attack,branch,lapic_next_deadline,1.4049999999999998,1.65,1.16,0.3464823227814083,2,28.747327,0.06957168574316493
GS_1,attack,branch,ktime_get_ts64,1.22,1.22,1.22,nan,1,28.747327,0.03478584287158246
GS_1,attack,branch,exit_to_user_mode_loop,1.1949999999999998,1.38,1.01,0.2616295090390225,2,28.747327,0.06957168574316493
GS_1,attack,branch,ctx_sched_in,1.4049999999999998,1.65,1.16,0.3464823227814083,2,28.747327,0.06957168574316493
GS_1,attack,branch,_copy_to_iter,2.7675,3.62,2.13,0.6674016781519209,4,28.747327,0.13914337148632985
GS_1,attack,branch,__rseq_handle_notify_resume,1.7666666666666666,2.21,1.22,0.5030241876225569,3,28.747327,0.10435752861474738
GS_1,attack,branch,_raw_spin_lock_bh,2.9887499999999996,5.67,1.56,1.3635189505729022,8,28.747327,0.2782867429726597
GS_1,attack,branch,cpuacct_charge,1.5233333333333334,1.9,1.29,0.32929217016706197,3,28.747327,0.10435752861474738
GS_1,attack,branch,perf_event_update_userpage,1.7375,2.47,1.13,0.6020728084431872,4,28.747327,0.13914337148632985
GS_1,attack,branch,psi_task_switch,1.5925,2.29,1.09,0.5113625589214238,4,28.747327,0.13914337148632985
GS_1,attack,branch,iterate_groups,2.1185714285714283,2.6,1.38,0.43379828535962706,7,28.747327,0.24350090010107725
GS_1,attack,branch,__cgroup_account_cputime,1.32,1.32,1.32,nan,1,28.747327,0.03478584287158246
