id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,dequeue_task_fair,2.4905769230769224,8.13,0.46,1.424994548956259,52,185.920014,0.2796901682677369
GS_1,attack,branch,select_estimate_accuracy,3.426666666666667,5.07,2.05,1.5275579639847823,3,185.920014,0.01613597124621559
GS_1,attack,branch,finish_task_switch.isra.0,3.6886666666666668,8.46,1.2,2.0524371111530058,15,185.920014,0.08067985623107794
GS_1,attack,branch,do_sys_poll,3.28037037037037,4.27,0.57,0.5715934642025645,27,185.920014,0.1452237412159403
GS_1,attack,branch,__lock_text_start,2.2235,5.79,1.47,0.94332153919848,20,185.920014,0.10757314164143726
GS_1,attack,branch,ctx_sched_in,2.2013043478260874,5.07,1.05,1.064613905037136,23,185.920014,0.12370911288765285
GS_1,attack,branch,xmit_one.constprop.0,3.186666666666667,6.23,1.53,1.658802278754162,9,185.920014,0.048407913738646766
GS_1,attack,branch,tcp_v4_rcv,3.273243243243243,7.35,0.34,1.202465185576082,37,185.920014,0.19901031203665895
GS_1,attack,branch,hrtimer_start_range_ns,2.09,2.34,1.84,0.3535533905932736,2,185.920014,0.010757314164143727
GS_1,attack,branch,psi_task_switch,2.9539999999999993,5.2,0.34,1.0322209065892824,30,185.920014,0.16135971246215589
GS_1,attack,branch,rb_erase,2.625555555555556,3.62,0.92,1.2011799754130656,27,185.920014,0.1452237412159403
GS_1,attack,branch,psi_group_change,20.60167664670659,53.71,1.07,7.599305584373636,167,185.920014,0.8982357327060011
GS_1,attack,branch,timespec64_add_safe,2.065,2.26,1.87,0.27577164466275333,2,185.920014,0.010757314164143727
GS_1,attack,branch,sock_poll,4.202121212121213,9.89,0.84,1.9126924046611582,33,185.920014,0.1774956837083715
GS_1,attack,branch,switch_fpu_return,7.188888888888889,13.96,2.12,4.711022830671818,9,185.920014,0.048407913738646766
GS_1,attack,branch,perf_event_groups_first,3.5507936507936506,9.27,0.33,1.3319174894372074,63,185.920014,0.3388553961705274
GS_1,attack,branch,dequeue_task,1.732941176470588,2.49,1.66,0.2188825228827772,17,185.920014,0.09143717039522167
GS_1,attack,branch,sched_clock_cpu,5.283333333333332,9.2,2.59,3.470653156587868,3,185.920014,0.01613597124621559
GS_1,attack,branch,do_poll.constprop.0,3.3247619047619046,11.18,0.42,2.262913411120078,105,185.920014,0.5647589936175457
GS_1,attack,branch,__local_bh_enable_ip,2.945555555555556,6.76,1.24,1.8158063712240295,9,185.920014,0.048407913738646766
GS_1,attack,branch,perf_pmu_nop_int,3.391086956521739,6.42,0.29,1.1448705061586457,92,185.920014,0.4948364515506114
GS_1,attack,branch,__update_load_avg_cfs_rq,2.1888888888888887,5.74,1.5,0.9557773048206659,27,185.920014,0.1452237412159403
GS_1,attack,branch,visit_groups_merge.constprop.0.is,2.718152866242038,12.59,0.31,1.4355084070595079,157,185.920014,0.8444491618852825
GS_1,attack,branch,fput,1.918979591836735,4.6,0.45,0.5955503228735837,49,185.920014,0.2635541970215213
GS_1,attack,branch,__update_load_avg_se,4.502115384615384,11.08,0.32,1.9774263321748529,104,185.920014,0.5593803365354738
GS_1,attack,branch,__check_object_size.part.0,1.7415789473684213,2.37,0.53,0.4527111313200202,19,185.920014,0.1021944845593654
GS_1,attack,branch,prepare_task_switch,1.808157894736842,4.71,0.36,0.7144979536337384,38,185.920014,0.2043889691187308
GS_1,attack,branch,poll_freewait,2.48,3.45,1.78,0.591168334740622,6,185.920014,0.03227194249243118
GS_1,attack,branch,arch_perf_update_userpage,2.6182653061224492,9.34,1.08,1.599020335073886,98,185.920014,0.5271083940430425
GS_1,attack,branch,loopback_xmit,2.657777777777778,5.19,1.28,1.3813560165447738,9,185.920014,0.048407913738646766
GS_1,attack,branch,perf_pmu_nop_txn,2.3354999999999992,4.52,1.26,0.6176566496380536,20,185.920014,0.10757314164143726
GS_1,attack,branch,cyc2ns_read_begin,2.065,2.26,1.87,0.27577164466275333,2,185.920014,0.010757314164143727
GS_1,attack,branch,perf_event_update_userpage,4.025102040816327,12.51,0.71,3.1714887215832577,98,185.920014,0.5271083940430425
GS_1,attack,branch,__calc_delta,1.9151999999999998,2.04,1.91,0.026000000000000006,25,185.920014,0.13446642705179657
GS_1,attack,branch,kmem_cache_alloc_node,7.21625,23.07,2.08,6.939349367401611,8,185.920014,0.04302925665657491
GS_1,attack,branch,iterate_groups,2.2033333333333336,3.57,0.34,0.6477942562063853,42,185.920014,0.22590359744701827
GS_1,attack,branch,tcp_poll,2.7965384615384616,8.01,1.1,1.2631102637780829,26,185.920014,0.13984508413386845
GS_1,attack,branch,tcp_schedule_loss_probe.part.0,4.329999999999999,11.49,1.26,3.4495043122164666,11,185.920014,0.059165227902790496
GS_1,attack,branch,update_curr,3.6213793103448277,10.22,1.87,1.5018315583169273,29,185.920014,0.15598105538008403
