id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,normal,branch,perf_event_groups_first,5.51,5.51,5.51,9.42055475210265e-16,9,52.342086,0.17194576463765696
2-39-89-25,normal,branch,kmem_cache_alloc_node_trace,3.38,5.6,1.94,1.4273927280184664,5,52.342086,0.09552542479869831
2-39-89-25,normal,branch,x86_get_event_constraints,4.260000000000001,4.86,4.06,0.36181361349331675,12,52.342086,0.22926101951687594
2-39-89-25,normal,branch,psi_task_switch,2.3755555555555556,2.75,2.1,0.2928003178683227,18,52.342086,0.3438915292753139
2-39-89-25,normal,branch,iterate_groups,12.578,34.77,3.04,13.035523388034713,5,52.342086,0.09552542479869831
2-39-89-25,normal,branch,__entry_text_start,2.9400000000000004,4.42,1.79,1.0292472977861054,5,52.342086,0.09552542479869831
2-39-89-25,normal,branch,merge_sched_in,5.139565217391305,7.29,4.34,0.9051643660928489,23,52.342086,0.43941695407401227
2-39-89-25,normal,branch,rb_next,2.3755555555555556,2.75,2.1,0.2928003178683227,18,52.342086,0.3438915292753139
2-39-89-25,normal,branch,perf_event_groups_insert,3.38,5.6,1.94,1.4273927280184664,5,52.342086,0.09552542479869831
2-39-89-25,normal,branch,rb_insert_color,3.7399999999999998,5.6,2.52,1.3611024943037904,4,52.342086,0.07642033983895866
2-39-89-25,normal,branch,psi_group_change,14.479599999999998,18.74,4.01,3.7895497533788003,25,52.342086,0.47762712399349155
2-39-89-25,normal,branch,event_sched_in,10.23,14.43,8.58,1.8210561371208345,23,52.342086,0.43941695407401227
2-39-89-25,attack,cycles,perf_event_alloc,46.08,100.0,32.6,30.142196336697165,5,27.461119,0.18207561024734645
2-39-89-25,attack,cycles,visit_groups_merge.constprop.0.is,17.36,17.36,17.36,0.0,4,27.461119,0.14566048819787716
2-39-89-25,attack,cycles,native_write_msr,0.0,0.0,0.0,nan,1,27.461119,0.03641512204946929
2-39-89-25,normal,cycles,perf_event_alloc,3.2518918918918915,7.82,2.66,1.351134991688753,37,52.342086,0.7068881435103676
2-39-89-25,normal,cycles,syscall_return_via_sysret,3.2705263157894735,11.24,2.53,1.780428049607538,38,52.342086,0.7259932284701072
