id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,dequeue_task_fair,10.698611111111111,33.02,0.36,8.506921938810526,36,383.164303,0.09395447258039588
2-39-89-25,attack,branch,x86_pmu_hw_config,3.5099999999999993,5.25,2.34,1.0595439270428262,7,383.164303,0.018268925223965865
2-39-89-25,attack,branch,__update_load_avg_se,8.224500000000003,40.36,1.87,11.45768943134972,20,383.164303,0.052196929211331046
2-39-89-25,attack,branch,allocate_fake_cpuc,2.4518421052631574,5.13,0.69,0.956191361779322,38,383.164303,0.09917416550152898
2-39-89-25,attack,branch,perf_event_init_context,2.5443137254901966,8.21,0.12,1.5551209019262269,51,383.164303,0.13310216948889417
2-39-89-25,attack,branch,intel_pmu_hw_config.part.0,2.651102362204723,14.14,0.03,2.3764707153397424,127,383.164303,0.3314505004919521
2-39-89-25,attack,branch,___slab_alloc,7.403076923076924,17.64,1.31,5.102418355733199,13,383.164303,0.03392800398736518
2-39-89-25,attack,branch,intel_pmu_bts_config,2.748,5.92,0.01,1.0012059395216018,70,383.164303,0.18268925223965865
2-39-89-25,attack,branch,prepare_task_switch,2.9149999999999996,4.94,0.0,1.3831075761357754,68,383.164303,0.17746955931852554
2-39-89-25,attack,branch,__lock_text_start,2.987260273972603,16.67,0.0,2.0120631066657637,73,383.164303,0.19051879162135832
2-39-89-25,attack,branch,__srcu_read_unlock,2.663432835820896,6.12,0.0,1.6439919880329155,201,383.164303,0.524579138573877
2-39-89-25,attack,branch,memcg_slab_free_hook,3.911581632653061,96.3,0.0,7.582139001929723,196,383.164303,0.5115299062710442
2-39-89-25,attack,branch,ctx_sched_in,2.447462686567164,3.97,0.0,0.7313382156757737,67,383.164303,0.174859712857959
2-39-89-25,attack,branch,native_sched_clock,3.4160629921259855,18.8,0.02,3.0131777133963475,127,383.164303,0.3314505004919521
2-39-89-25,attack,branch,list_add_event,8.259230769230768,24.34,1.36,8.635937954789528,13,383.164303,0.03392800398736518
2-39-89-25,attack,branch,arch_perf_update_userpage,11.600000000000001,22.78,3.15,6.784810240529944,13,383.164303,0.03392800398736518
2-39-89-25,attack,branch,perf_pmu_nop_txn,3.8400000000000003,5.87,2.3,1.3409946557189059,7,383.164303,0.018268925223965865
2-39-89-25,attack,branch,perf_event__id_header_size,5.541428571428571,10.66,2.6,3.008290924381199,7,383.164303,0.018268925223965865
2-39-89-25,attack,branch,psi_task_switch,3.704285714285715,7.83,1.64,1.6129803824863196,21,383.164303,0.054806775671897595
2-39-89-25,attack,branch,perf_event_update_userpage,2.6073239436619713,16.67,0.0,2.050422923445291,71,383.164303,0.1852990987002252
2-39-89-25,attack,branch,__calc_delta,4.867222222222222,20.42,0.0,3.37321439332291,90,383.164303,0.2348861814509897
2-39-89-25,attack,branch,perf_event_alloc,4.188987341772151,21.74,0.0,3.5484964331783897,237,383.164303,0.6185336111542729
2-39-89-25,attack,branch,kmem_cache_alloc_node,4.311923076923077,17.77,1.59,3.35598929584797,26,383.164303,0.06785600797473036
2-39-89-25,attack,branch,inherit_event.constprop.0,3.396590909090909,11.27,0.0,1.7149410273454675,88,383.164303,0.2296664885298566
2-39-89-25,attack,branch,inherit_task_group.isra.0,11.076923076923077,19.87,2.48,5.639820305375259,13,383.164303,0.03392800398736518
2-39-89-25,attack,branch,hsw_hw_config,2.4591999999999996,4.79,0.06,1.2450548234971477,75,383.164303,0.1957384845424914
