id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,dequeue_task_fair,1.6366666666666667,2.65,1.12,0.3953256289961181,18,383.164303,0.04697723629019794
GS_1,attack,branch,tcp_recvmsg_locked,1.765866666666667,3.44,0.97,0.5432810564581709,75,383.164303,0.1957384845424914
GS_1,attack,branch,inet_sendmsg,1.7300000000000002,2.47,1.16,0.4691694789732172,6,383.164303,0.015659078763399312
GS_1,attack,branch,__hrtimer_run_queues,1.26,1.26,1.26,nan,1,383.164303,0.002609846460566552
GS_1,attack,branch,hash_futex,1.4500000000000002,1.57,1.33,0.16970562748477142,2,383.164303,0.005219692921133104
GS_1,attack,branch,finish_task_switch.isra.0,1.954571428571428,4.36,0.91,0.8571235852175196,35,383.164303,0.09134462611982933
GS_1,attack,branch,do_sys_poll,1.8233333333333333,2.25,1.51,0.38279672586548247,3,383.164303,0.007829539381699656
GS_1,attack,branch,perf_exclude_event,1.682,1.97,1.43,0.20680909070928194,5,383.164303,0.013049232302832761
GS_1,attack,branch,__lock_text_start,1.6488235294117648,2.54,1.19,0.37980064430140803,17,383.164303,0.044367389829631385
GS_1,attack,branch,enqueue_task_fair,1.52,1.89,1.16,0.28257742301889577,5,383.164303,0.013049232302832761
GS_1,attack,branch,ctx_sched_in,1.7708974358974363,3.66,1.01,0.5512446033482892,78,383.164303,0.20356802392419107
GS_1,attack,branch,xmit_one.constprop.0,1.16,1.16,1.16,nan,1,383.164303,0.002609846460566552
GS_1,attack,branch,__sk_dst_check,1.5499999999999998,2.51,1.01,0.39552496760634465,16,383.164303,0.041757543369064835
GS_1,attack,branch,jiffies_to_usecs,1.31,1.31,1.31,nan,1,383.164303,0.002609846460566552
GS_1,attack,branch,ip_output,2.560454545454546,4.34,1.29,0.8077863771869586,22,383.164303,0.05741662213246415
GS_1,attack,branch,skb_free_head,2.4766666666666666,3.45,1.59,0.9330237581826807,3,383.164303,0.007829539381699656
GS_1,attack,branch,apparmor_socket_sock_rcv_skb,2.08,2.45,1.74,0.3559494346111538,3,383.164303,0.007829539381699656
GS_1,attack,branch,tcp_v4_inbound_md5_hash,1.5889285714285715,2.32,1.07,0.3261826264841612,28,383.164303,0.07307570089586346
GS_1,attack,branch,tcp_options_write,1.5175,2.43,1.05,0.33328731566414094,24,383.164303,0.06263631505359725
GS_1,attack,branch,tcp_v4_rcv,2.1282407407407407,7.95,1.01,1.1120897468521378,108,383.164303,0.2818634177411876
GS_1,attack,branch,ipv4_mtu,1.325,1.38,1.27,0.07778174593052013,2,383.164303,0.005219692921133104
GS_1,attack,branch,psi_flags_change,1.66,1.66,1.66,nan,1,383.164303,0.002609846460566552
GS_1,attack,branch,sk_stream_alloc_skb,1.701320754716981,2.6,1.08,0.36239607388691475,53,383.164303,0.13832186241002725
GS_1,attack,branch,tcp_check_space,2.1295238095238096,4.02,1.27,0.7982510644557649,21,383.164303,0.054806775671897595
GS_1,attack,branch,psi_task_switch,1.3948888888888888,2.03,0.97,0.2808155510960419,45,383.164303,0.11744309072549484
