id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,set_next_entity,2.9599999999999995,4.17,1.95,1.1234322409473567,3,28.916337,0.10374758047673881
GS_1,attack,branch,psi_task_change,3.9375,5.64,1.7,1.4481687944237913,8,28.916337,0.27666021460463686
GS_1,attack,branch,tcp_sendmsg_locked,1.9799999999999998,2.53,1.7,0.32962099447699017,5,28.916337,0.172912634127898
GS_1,attack,branch,prepare_task_switch,4.692222222222223,9.92,2.17,2.9364850492458574,9,28.916337,0.31124274143021646
GS_1,attack,branch,poll_freewait,3.13,3.13,3.13,nan,1,28.916337,0.03458252682557961
GS_1,attack,branch,tcp_v4_do_rcv,2.9722222222222223,5.3,1.75,1.3741886495108466,9,28.916337,0.31124274143021646
GS_1,attack,branch,exit_to_user_mode_loop,2.5300000000000002,3.04,2.02,0.7212489168102785,2,28.916337,0.06916505365115921
GS_1,attack,branch,ip_output,4.256666666666667,6.97,2.31,2.4227532547358868,3,28.916337,0.10374758047673881
GS_1,attack,branch,native_sched_clock,2.795,4.35,2.02,0.7716401826165945,8,28.916337,0.27666021460463686
GS_1,attack,branch,tcp_rcv_space_adjust,2.775,3.25,2.3,0.6717514421272203,2,28.916337,0.06916505365115921
GS_1,attack,branch,tcp_v4_rcv,3.6999999999999997,3.88,3.52,0.17999999999999997,3,28.916337,0.10374758047673881
GS_1,attack,branch,perf_log_itrace_start,2.015,2.21,1.85,0.15351438586225935,4,28.916337,0.13833010730231843
GS_1,attack,branch,get_nohz_timer_target,2.12,2.12,2.12,nan,1,28.916337,0.03458252682557961
GS_1,attack,branch,psi_task_switch,3.111428571428571,8.17,1.56,2.406404153998441,7,28.916337,0.24207768777905722
GS_1,attack,branch,security_file_ioctl,2.06,2.06,2.06,nan,1,28.916337,0.03458252682557961
GS_1,attack,branch,ip_finish_output2,2.754,3.52,2.36,0.45932559258112327,5,28.916337,0.172912634127898
GS_1,attack,branch,tcp_chrono_stop,1.7880000000000003,2.29,1.53,0.3003664428660432,5,28.916337,0.172912634127898
GS_1,attack,branch,memset_erms,3.6079999999999997,6.64,1.73,1.9806488835732596,5,28.916337,0.172912634127898
GS_1,attack,branch,iterate_groups,1.79,1.79,1.79,nan,1,28.916337,0.03458252682557961
GS_1,attack,branch,copy_user_generic_unrolled,3.13,3.13,3.13,nan,1,28.916337,0.03458252682557961
GS_1,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,28.916337,0.03458252682557961
GS_1,attack,branch,__get_user_8,1.9625,2.15,1.81,0.14499999999999996,4,28.916337,0.13833010730231843
