id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-139-28,attack,branch,set_next_entity,3.4370833333333333,7.28,0.47,1.548265450688964,24,220.559398,0.10881422518209811
2-39-139-28,attack,branch,perf_event_update_time,3.3594029850746265,6.35,0.08,2.126978138535781,67,220.559398,0.3037730453000239
2-39-139-28,attack,branch,__update_load_avg_se,3.991666666666667,7.79,0.48,1.8258760057588241,24,220.559398,0.10881422518209811
2-39-139-28,attack,branch,intel_pebs_constraints,4.6225000000000005,7.76,2.12,2.422400668758164,4,220.559398,0.018135704197016354
2-39-139-28,attack,branch,allocate_fake_cpuc,5.429722222222221,15.45,0.42,3.558813996753984,36,220.559398,0.16322133777314718
2-39-139-28,attack,branch,___slab_alloc,8.436666666666666,15.67,3.8,4.278376639178307,6,220.559398,0.02720355629552453
2-39-139-28,attack,branch,intel_pmu_bts_config,3.7031481481481485,11.93,0.09,3.340278953481577,54,220.559398,0.24483200665972077
2-39-139-28,attack,branch,enqueue_entity,3.733030303030304,5.3,0.1,1.8586125282863641,33,220.559398,0.14961955962538492
2-39-139-28,attack,branch,perf_try_init_event,3.41625,5.43,2.06,1.1884556305198297,8,220.559398,0.03627140839403271
2-39-139-28,attack,branch,__srcu_read_unlock,2.8659999999999997,7.69,0.53,1.237123427552805,65,220.559398,0.2947051932015157
2-39-139-28,attack,branch,memcg_slab_free_hook,5.863207547169812,35.26,1.37,5.5205043573881865,53,220.559398,0.24029808061046667
2-39-139-28,attack,branch,exit_to_user_mode_loop,5.303333333333334,7.54,3.4,2.090031897683223,3,220.559398,0.013601778147762264
2-39-139-28,attack,branch,native_sched_clock,3.5320512820512815,7.76,0.34,1.6988435377403064,39,220.559398,0.17682311592090943
2-39-139-28,attack,branch,update_sg_wakeup_stats,5.445384615384615,28.33,0.93,5.459766645367032,39,220.559398,0.17682311592090943
2-39-139-28,attack,branch,arch_perf_update_userpage,4.29,6.31,2.74,1.8308194886443607,3,220.559398,0.013601778147762264
2-39-139-28,attack,branch,perf_log_itrace_start,2.646857142857143,5.48,1.01,0.873117374457657,35,220.559398,0.15868741172389308
2-39-139-28,attack,branch,perf_event__id_header_size,2.8280000000000003,4.36,1.96,0.9672486753674053,5,220.559398,0.02266963024627044
2-39-139-28,attack,branch,psi_task_switch,4.51,6.13,0.37,2.4244694623593515,24,220.559398,0.10881422518209811
2-39-139-28,attack,branch,perf_event_update_userpage,3.9441111111111113,20.26,1.0,2.486027874794886,90,220.559398,0.40805334443286795
2-39-139-28,attack,branch,perf_event_alloc,3.4920192307692313,11.86,0.16,2.128676319550014,104,220.559398,0.47152830912242516
2-39-139-28,attack,branch,kmem_cache_alloc_node,6.2711956521739145,17.66,0.35,4.535033310366607,92,220.559398,0.41712119653137614
2-39-139-28,attack,branch,memset_erms,6.057325581395348,29.34,1.19,4.271451998454691,86,220.559398,0.38991764023585157
2-39-139-28,attack,branch,inherit_task_group.isra.0,3.114,9.75,0.66,2.2182425476038454,25,220.559398,0.11334815123135221
2-39-139-28,attack,branch,hsw_hw_config,5.693076923076922,14.24,1.17,4.78945262115165,13,220.559398,0.058941038640303145
2-39-139-28,attack,branch,iterate_groups,3.6649999999999996,10.12,0.13,2.1566571848038234,48,220.559398,0.21762845036419623
2-39-139-28,attack,branch,inherit_event.constprop.0,6.09777777777778,57.23,0.46,6.910320107458038,108,220.559398,0.48966401331944154
2-39-139-28,attack,branch,idr_get_free,7.9125,17.98,2.95,4.989846118440356,8,220.559398,0.03627140839403271
2-39-139-28,attack,branch,intel_cpuc_finish,2.6007692307692314,4.7,0.45,1.075662761777086,52,220.559398,0.23576415456121258
2-39-139-28,attack,branch,perf_init_event,3.431428571428572,5.55,2.09,1.2367353337372897,7,220.559398,0.03173748234477862
2-39-139-28,attack,branch,update_curr,5.456666666666667,7.76,3.5,2.1510540052107787,3,220.559398,0.013601778147762264
2-39-139-28,attack,branch,psi_group_change,9.396868131868134,37.61,0.26,5.23725715550625,182,220.559398,0.825174540964244
2-39-139-28,attack,branch,rb_insert_color,3.733414634146342,6.07,0.15,1.6940743929298052,41,220.559398,0.18589096801941762
2-39-139-28,attack,branch,perf_output_begin,2.4459259259259256,4.38,1.02,0.6024390122931643,27,220.559398,0.12241600332986038
2-39-139-28,attack,branch,calc_timer_values,3.655,8.78,1.37,2.3028207340853375,10,220.559398,0.04533926049254088
2-39-139-28,attack,branch,__cond_resched,3.136944444444444,5.08,0.07,2.233059169383618,36,220.559398,0.16322133777314718
2-39-139-28,attack,branch,mutex_unlock,6.45090909090909,24.8,0.64,7.565128633893632,44,220.559398,0.19949274616717988
2-39-139-28,attack,branch,intel_get_event_constraints,2.948571428571429,4.46,1.82,0.9635079756014576,7,220.559398,0.03173748234477862
2-39-139-28,attack,branch,perf_event_groups_first,3.5650649350649366,13.91,0.26,1.972046508056664,77,220.559398,0.3491123057925648
2-39-139-28,attack,branch,kmem_cache_alloc_node_trace,3.427692307692308,4.42,0.42,1.3016890802101941,26,220.559398,0.11788207728060629
2-39-139-28,attack,branch,_raw_spin_lock_irqsave,2.6937500000000005,8.57,0.23,1.4631007701578054,56,220.559398,0.25389985875822896
2-39-139-28,attack,branch,dequeue_entity,4.6225000000000005,7.76,2.12,2.422400668758164,4,220.559398,0.018135704197016354
2-39-139-28,attack,branch,merge_sched_in,4.348367346938775,13.08,0.34,2.8648253194719806,98,220.559398,0.44432475282690065
2-39-139-28,attack,branch,obj_cgroup_charge_pages,11.54,11.54,11.54,0.0,9,220.559398,0.040805334443286795
2-39-139-28,attack,branch,security_perf_event_alloc,3.3763235294117644,6.56,0.1,2.306501456403903,68,220.559398,0.308306971349278
2-39-139-28,attack,branch,perf_swevent_add,3.776842105263158,9.81,0.98,2.496993865145267,19,220.559398,0.08614459493582767
2-39-139-28,attack,branch,event_sched_in,3.7553191489361692,16.51,0.21,2.5857070194191674,141,220.559398,0.6392835729448264
2-39-139-28,attack,branch,sched_clock_cpu,3.5448387096774194,8.51,0.67,2.2867587993602676,31,220.559398,0.14055170752687673
2-39-139-28,attack,branch,rcu_all_qs,3.530333333333333,9.83,2.97,1.5090473892454488,30,220.559398,0.13601778147762264
2-39-139-28,attack,branch,kfree,6.079318181818182,26.48,0.46,4.085756153806687,132,220.559398,0.5984782385015397
2-39-139-28,attack,branch,kmem_cache_alloc,5.303333333333334,7.54,3.4,2.090031897683223,3,220.559398,0.013601778147762264
2-39-139-28,attack,branch,do_futex,2.2631250000000005,3.85,0.23,1.0612148774536814,32,220.559398,0.14508563357613083
2-39-139-28,attack,branch,x86_pmu_event_init,4.682444444444444,13.44,0.54,3.2535764625992436,45,220.559398,0.20402667221643397
2-39-139-28,attack,branch,slab_free_freelist_hook.constprop,2.4800000000000004,4.26,1.23,0.8633075929238663,11,220.559398,0.04987318654179497
2-39-139-28,attack,branch,intel_pmu_event_map,3.103333333333333,6.31,1.16,1.6225307579845938,12,220.559398,0.05440711259104906
2-39-139-28,attack,branch,__srcu_read_lock,3.3074999999999997,8.04,0.34,1.4585485352867869,48,220.559398,0.21762845036419623
2-39-139-28,attack,branch,copy_process,2.8798484848484853,5.78,0.1,1.4471037307184331,66,220.559398,0.29923911925076985
2-39-139-28,attack,branch,update_load_avg,2.514411764705882,4.06,0.1,1.5344887435559185,34,220.559398,0.154153485674639
2-39-139-28,attack,branch,update_rq_clock,3.5349999999999993,5.51,0.14,1.474910604179989,32,220.559398,0.14508563357613083
2-39-139-28,attack,branch,rb_next,3.21070707070707,8.2,0.1,1.6726480609398453,99,220.559398,0.4488586788761547
2-39-139-28,attack,branch,should_failslab,4.2748484848484845,7.21,0.87,2.517099175156942,33,220.559398,0.14961955962538492
2-39-139-28,attack,branch,perf_event_groups_insert,3.9183035714285714,15.67,0.07,2.6536691879860275,112,220.559398,0.5077997175164579
2-39-139-28,attack,branch,perf_pmu_nop_int,10.635,15.45,10.1,1.6918185481900827,10,220.559398,0.04533926049254088
2-39-139-28,attack,branch,mutex_lock,3.4063636363636354,7.12,0.51,1.0853167546446787,55,220.559398,0.24936593270897486
2-39-139-28,attack,branch,kmem_cache_alloc_trace,4.498072289156626,28.21,0.17,4.0886456275741585,83,220.559398,0.3763158620880893
2-39-139-28,attack,branch,intel_put_event_constraints,2.4553125,4.04,0.18,1.237635582341353,32,220.559398,0.14508563357613083
2-39-139-28,attack,branch,update_min_vruntime,2.988,4.25,2.02,0.8757967800808587,5,220.559398,0.02266963024627044
2-39-139-28,attack,branch,visit_groups_merge.constprop.0.is,5.752916666666667,25.18,0.39,4.022968607687577,48,220.559398,0.21762845036419623
2-39-139-28,attack,branch,perf_iterate_ctx,4.091774193548386,11.54,0.39,3.4102384533682257,62,220.559398,0.28110341505375347
2-39-139-28,attack,branch,x86_setup_perfctr,3.34829268292683,7.54,0.16,1.3726942529912194,41,220.559398,0.18589096801941762
2-39-139-28,normal,branch,perf_event_update_time,3.206382978723404,10.61,0.24,2.379263153685734,47,244.592604,0.19215625996606178
2-39-139-28,normal,branch,__update_load_avg_se,3.013333333333333,4.31,2.11,0.8612239352611296,6,244.592604,0.024530586378646184
2-39-139-28,normal,branch,__srcu_read_unlock,3.194,6.72,0.76,1.8076586358020543,40,244.592604,0.1635372425243079
2-39-139-28,normal,branch,restore_fpregs_from_fpstate,3.8066666666666666,7.7,1.08,2.091923738460901,24,244.592604,0.09812234551458474
2-39-139-28,normal,branch,memcg_slab_free_hook,3.3472413793103444,7.18,0.98,1.7919699785266736,29,244.592604,0.11856450083012322
2-39-139-28,normal,branch,handle_pte_fault,3.890909090909091,8.75,1.65,2.0984396800740046,11,244.592604,0.04497274169418467
2-39-139-28,normal,branch,native_sched_clock,4.908846153846154,20.3,0.4,3.9459025096148306,26,244.592604,0.10629920764080013
2-39-139-28,normal,branch,list_add_event,3.4476470588235295,5.84,0.93,1.5131115681426335,17,244.592604,0.06950332807283086
2-39-139-28,normal,branch,arch_perf_update_userpage,3.2416666666666663,6.39,1.33,1.394583007463479,18,244.592604,0.07359175913593856
2-39-139-28,normal,branch,perf_log_itrace_start,3.0533333333333332,4.41,2.08,0.8211374225223612,6,244.592604,0.024530586378646184
2-39-139-28,normal,branch,perf_event_update_userpage,5.047027027027028,13.27,1.67,2.323356529012146,74,244.592604,0.3025438986699696
2-39-139-28,normal,branch,perf_event_alloc,2.720714285714286,8.01,0.03,1.6950647569472188,112,244.592604,0.4579042790680621
2-39-139-28,normal,branch,kmem_cache_alloc_node,4.0452272727272724,9.45,0.05,2.6686575803363626,88,244.592604,0.3597819335534774
2-39-139-28,normal,branch,inherit_event.constprop.0,3.5648076923076926,7.6,0.81,1.632256336059485,52,244.592604,0.21259841528160026
2-39-139-28,normal,branch,copy_user_generic_unrolled,4.1523076923076925,7.73,2.11,1.7486382980582056,13,244.592604,0.053149603820400064
2-39-139-28,normal,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,244.592604,0.004088431063107697
2-39-139-28,normal,branch,psi_group_change,13.084020100502514,50.56,0.14,7.692525161033231,199,244.592604,0.8135977815584318
2-39-139-28,normal,branch,merge_sched_in,5.543072289156627,20.33,0.04,4.236087197669302,166,244.592604,0.6786795564758777
2-39-139-28,normal,branch,security_perf_event_alloc,3.483125,9.43,1.22,2.4090986384953195,16,244.592604,0.06541489700972315
2-39-139-28,normal,branch,perf_swevent_add,5.011842105263158,12.88,1.37,3.145682459587682,38,244.592604,0.1553603803980925
2-39-139-28,normal,branch,event_sched_in,3.4186524822695032,13.63,0.03,2.436323700009081,141,244.592604,0.5764687798981853
2-39-139-28,normal,branch,kfree,3.3965384615384617,6.0,1.25,1.334636856400099,26,244.592604,0.10629920764080013
2-39-139-28,normal,branch,perf_event_sched_in,3.3016666666666663,6.34,1.26,1.853693283118539,12,244.592604,0.04906117275729237
2-39-139-28,normal,branch,timerqueue_add,2.927142857142857,4.06,1.88,0.8542387309902363,7,244.592604,0.02861901744175388
2-39-139-28,normal,branch,x86_pmu_event_init,2.2091111111111115,5.59,0.03,1.4002500935883757,90,244.592604,0.36795879567969275
2-39-139-28,normal,branch,futex_wait_queue_me,3.2974444444444444,6.23,0.05,2.1524512084467955,90,244.592604,0.36795879567969275
2-39-139-28,normal,branch,perf_iterate_ctx,2.6127499999999997,8.06,0.03,1.7841304480604003,80,244.592604,0.3270744850486158
2-39-139-28,normal,branch,__perf_event_task_sched_in,2.124418604651163,7.5,0.02,1.4680043313377058,86,244.592604,0.351605071427262
2-39-139-28,normal,branch,should_failslab,5.747272727272727,13.62,2.03,3.543569079075758,11,244.592604,0.04497274169418467
2-39-139-28,normal,branch,perf_event_groups_insert,4.304333333333334,9.6,1.19,2.5256691613597533,30,244.592604,0.12265293189323093
2-39-139-28,normal,branch,__update_load_avg_cfs_rq,1.7968421052631576,5.8,0.0,1.8452794206707224,19,244.592604,0.07768019019904625
2-39-139-28,normal,branch,mutex_lock,3.7047368421052633,7.34,1.69,1.7411789378370195,19,244.592604,0.07768019019904625
2-39-139-28,normal,branch,visit_groups_merge.constprop.0.is,2.8213999999999992,12.2,0.03,2.0593752215247956,100,244.592604,0.40884310631076975
2-39-139-28,normal,branch,update_cfs_group,2.8020833333333335,6.51,0.75,1.5292481220654088,24,244.592604,0.09812234551458474
2-39-139-28,normal,branch,x86_setup_perfctr,3.276666666666667,3.93,2.52,0.7106569730420813,3,244.592604,0.012265293189323092
2-39-139-28,attack,cycles,dequeue_task_fair,3.0933333333333337,5.08,1.83,1.208679720466372,6,220.559398,0.02720355629552453
2-39-139-28,attack,cycles,perf_event_init_context,2.8542857142857145,4.99,1.75,1.1150314964588393,7,220.559398,0.03173748234477862
2-39-139-28,attack,cycles,intel_pmu_hw_config.part.0,2.1999999999999997,2.58,1.83,0.37509998667022104,3,220.559398,0.013601778147762264
2-39-139-28,attack,cycles,___slab_alloc,3.750833333333333,9.46,0.91,1.8816107103352242,48,220.559398,0.21762845036419623
2-39-139-28,attack,cycles,__lock_text_start,3.7975000000000003,5.91,2.32,1.580830477945058,4,220.559398,0.018135704197016354
2-39-139-28,attack,cycles,__mod_memcg_lruvec_state,3.473793103448276,3.81,0.22,1.015182649973827,29,220.559398,0.13148385542836857
2-39-139-28,attack,cycles,inherit_task_group.isra.0,3.510625,7.28,2.07,1.5831999802360261,32,220.559398,0.14508563357613083
2-39-139-28,attack,cycles,hsw_hw_config,2.6420000000000003,9.38,0.17,1.7662299250517044,55,220.559398,0.24936593270897486
2-39-139-28,attack,cycles,psi_group_change,4.605285714285714,12.44,0.32,2.2149176197122546,70,220.559398,0.31737482344778617
2-39-139-28,attack,cycles,perf_output_begin,4.211666666666667,8.92,1.59,2.0488569266501635,18,220.559398,0.08161066888657359
2-39-139-28,attack,cycles,switch_fpu_return,2.673333333333334,3.52,1.94,0.5548933831527157,6,220.559398,0.02720355629552453
2-39-139-28,attack,cycles,perf_event_groups_first,2.4407017543859646,4.7,0.39,0.9138846825680913,57,220.559398,0.258433784807483
2-39-139-28,attack,cycles,x86_reserve_hardware,2.9725,3.52,2.72,0.37818646194701355,4,220.559398,0.018135704197016354
2-39-139-28,attack,cycles,clear_page_erms,1.9212500000000001,2.79,1.39,0.45218319612425106,8,220.559398,0.03627140839403271
