id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
GS_1,attack,branch,dequeue_task_fair,1.9000000000000001,2.59,1.42,0.3922429673742354,12,220.559398,0.05440711259104906
GS_1,attack,branch,tcp_recvmsg_locked,3.262758620689656,34.7,0.97,5.264651999663033,58,220.559398,0.26296771085673715
GS_1,attack,branch,inet_sendmsg,2.218,3.41,1.35,0.8228730157199227,5,220.559398,0.02266963024627044
GS_1,attack,branch,hash_futex,2.78625,3.94,1.64,0.8031178084725269,8,220.559398,0.03627140839403271
GS_1,attack,branch,finish_task_switch.isra.0,1.5699999999999998,1.69,1.45,0.16970562748477142,2,220.559398,0.009067852098508177
GS_1,attack,branch,ctx_sched_in,2.13719298245614,4.29,0.27,0.7452654234421761,57,220.559398,0.258433784807483
GS_1,attack,branch,apparmor_socket_sock_rcv_skb,1.4140000000000001,1.79,1.1,0.2661390613946025,5,220.559398,0.02266963024627044
GS_1,attack,branch,ip_output,2.072608695652174,3.91,1.18,0.751387912110917,23,220.559398,0.10428029913284403
GS_1,attack,branch,mark_wake_futex,1.31,1.31,1.31,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,mod_timer,1.736,2.34,1.3,0.40190794966011795,5,220.559398,0.02266963024627044
GS_1,attack,branch,jiffies_to_usecs,1.7349999999999999,2.11,1.42,0.28873286384938357,4,220.559398,0.018135704197016354
GS_1,attack,branch,tcp_v4_inbound_md5_hash,2.483333333333334,3.47,1.75,0.6564957476379164,6,220.559398,0.02720355629552453
GS_1,attack,branch,tcp_v4_rcv,1.6029999999999998,2.62,1.04,0.377701156028554,50,220.559398,0.22669630246270442
GS_1,attack,branch,tcp_options_write,1.3833333333333335,1.58,1.2,0.19035055380358984,3,220.559398,0.013601778147762264
GS_1,attack,branch,psi_flags_change,1.58,1.58,1.58,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,sk_stream_alloc_skb,2.2796000000000003,7.57,1.28,1.1877589255847005,50,220.559398,0.22669630246270442
GS_1,attack,branch,select_idle_cpu,1.5425,1.91,1.17,0.32755406678389243,4,220.559398,0.018135704197016354
GS_1,attack,branch,tcp_check_space,1.7177777777777778,2.2,1.16,0.333683149776018,9,220.559398,0.040805334443286795
GS_1,attack,branch,psi_task_switch,1.6964444444444444,3.26,0.99,0.48245186079006674,45,220.559398,0.20402667221643397
GS_1,attack,branch,neigh_hh_output,2.14875,3.33,1.3,0.6972893947278992,8,220.559398,0.03627140839403271
GS_1,attack,branch,rb_erase,1.4276923076923076,1.96,1.03,0.2595558336258902,13,220.559398,0.058941038640303145
GS_1,attack,branch,calc_wheel_index,2.2408333333333332,3.43,1.32,0.6456914311359755,12,220.559398,0.05440711259104906
GS_1,attack,branch,tcp_update_skb_after_send,1.9599999999999997,2.72,1.36,0.5252142420003478,5,220.559398,0.02266963024627044
GS_1,attack,branch,psi_group_change,13.486142131979696,23.88,1.8,3.3735842593902454,197,220.559398,0.8931834317030554
GS_1,attack,branch,skb_do_copy_data_nocache,1.4875,1.82,1.26,0.2515783509498913,4,220.559398,0.018135704197016354
GS_1,attack,branch,enqueue_timer,1.8028,2.94,1.15,0.535525598516697,25,220.559398,0.11334815123135221
GS_1,attack,branch,tcp_rtt_estimator,2.718666666666667,4.9,1.39,1.010826159044929,15,220.559398,0.06800889073881132
GS_1,attack,branch,switch_fpu_return,1.5521428571428568,2.5,0.96,0.3848458772110586,28,220.559398,0.12694992937911448
GS_1,attack,branch,sock_poll,1.48,1.48,1.48,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,perf_event_groups_first,2.125967741935484,4.91,1.06,0.7731868471344445,62,220.559398,0.28110341505375347
GS_1,attack,branch,ip_local_out,1.8726315789473684,3.05,1.05,0.5325915894656905,19,220.559398,0.08614459493582767
GS_1,attack,branch,__skb_clone,1.8820000000000001,2.53,1.26,0.495247412916009,5,220.559398,0.02266963024627044
GS_1,attack,branch,tcp_recvmsg,1.4,1.64,1.17,0.19714630776828324,4,220.559398,0.018135704197016354
GS_1,attack,branch,dequeue_entity,2.1766666666666663,3.64,1.22,0.6837010010403155,18,220.559398,0.08161066888657359
GS_1,attack,branch,lock_sock_nested,2.0483333333333333,3.25,1.38,0.7096313596978834,6,220.559398,0.02720355629552453
GS_1,attack,branch,dequeue_task,2.65,3.44,2.01,0.5821941257003544,5,220.559398,0.02266963024627044
GS_1,attack,branch,remove_wait_queue,1.8359999999999999,2.34,1.46,0.33208432664008697,5,220.559398,0.02266963024627044
GS_1,attack,branch,sockfd_lookup_light,1.3,1.3,1.3,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,tcp_clean_rtx_queue.constprop.0,1.867708333333333,3.54,0.98,0.5273306507763671,48,220.559398,0.21762845036419623
GS_1,attack,branch,wake_affine,1.455,1.54,1.37,0.12020815280171303,2,220.559398,0.009067852098508177
GS_1,attack,branch,rcu_all_qs,1.6625,1.73,1.52,0.09912113800799502,4,220.559398,0.018135704197016354
GS_1,attack,branch,tcp_tso_segs,1.9666666666666668,3.22,1.23,0.7445177410019636,6,220.559398,0.02720355629552453
GS_1,attack,branch,__netif_receive_skb,2.04,2.46,1.56,0.40693979898751603,4,220.559398,0.018135704197016354
GS_1,attack,branch,nf_hook_slow,1.5,1.5,1.5,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,__sys_recvfrom,1.87,3.01,1.32,0.5309425580983314,11,220.559398,0.04987318654179497
GS_1,attack,branch,tcp_skb_entail,1.6225,1.85,1.32,0.23012677665437659,4,220.559398,0.018135704197016354
GS_1,attack,branch,eth_type_trans,2.2079999999999997,2.79,1.7,0.4480736546595883,5,220.559398,0.02266963024627044
GS_1,attack,branch,__x64_sys_sendto,2.6185714285714288,3.67,2.04,0.5929988356207953,7,220.559398,0.03173748234477862
GS_1,attack,branch,__softirqentry_text_start,2.02,2.23,1.8,0.2151743479135001,3,220.559398,0.013601778147762264
GS_1,attack,branch,tcp_sendmsg,4.854444444444444,11.46,1.91,3.184254665974092,9,220.559398,0.040805334443286795
GS_1,attack,branch,_copy_from_iter,2.682,3.73,1.21,0.934729907513395,5,220.559398,0.02266963024627044
GS_1,attack,branch,__ip_queue_xmit,2.2191304347826084,4.31,1.06,0.8853089498920098,23,220.559398,0.10428029913284403
GS_1,attack,branch,__local_bh_enable_ip,1.939375,2.94,1.31,0.47427795999111466,16,220.559398,0.07254281678806541
GS_1,attack,branch,perf_pmu_nop_int,2.0239999999999996,3.44,1.02,0.610486590803615,50,220.559398,0.22669630246270442
GS_1,attack,branch,__update_load_avg_cfs_rq,2.1988333333333334,3.86,1.11,0.7874913863756346,60,220.559398,0.2720355629552453
GS_1,attack,branch,raw_local_deliver,2.5344444444444445,4.08,1.34,0.9817345760325332,9,220.559398,0.040805334443286795
GS_1,attack,branch,ip_rcv_finish_core.constprop.0,1.6816666666666666,2.08,1.44,0.23583186100836054,6,220.559398,0.02720355629552453
GS_1,attack,branch,visit_groups_merge.constprop.0.is,2.3179699248120302,5.6,0.25,0.8241393668902898,133,220.559398,0.6030121645507938
GS_1,attack,branch,tcp_rearm_rto,1.4933333333333332,1.67,1.38,0.15502687938977983,3,220.559398,0.013601778147762264
GS_1,attack,branch,psi_task_change,1.4500000000000002,1.8,1.11,0.29450523481482177,4,220.559398,0.018135704197016354
GS_1,attack,branch,__update_load_avg_se,1.8913157894736847,3.83,0.98,0.6352108441302867,38,220.559398,0.17228918987165534
GS_1,attack,branch,__check_object_size.part.0,1.8509090909090908,3.06,1.11,0.6604764120762306,11,220.559398,0.04987318654179497
GS_1,attack,branch,prepare_task_switch,2.6023809523809525,5.07,1.25,1.1431618641378165,21,220.559398,0.09521244703433586
GS_1,attack,branch,memcg_slab_free_hook,2.3641666666666667,3.78,1.16,0.7824955223029986,12,220.559398,0.05440711259104906
GS_1,attack,branch,migrate_disable,2.8999999999999995,4.1,1.96,0.9475582655787804,4,220.559398,0.018135704197016354
GS_1,attack,branch,kmem_cache_free,2.4939999999999998,3.91,1.67,0.7015253222641203,10,220.559398,0.04533926049254088
GS_1,attack,branch,tcp_send_delayed_ack,2.5028571428571427,3.77,1.52,0.7625552282887295,7,220.559398,0.03173748234477862
GS_1,attack,branch,arch_perf_update_userpage,2.2224545454545455,4.71,1.17,0.8834328231171856,110,220.559398,0.4987318654179497
GS_1,attack,branch,loopback_xmit,2.1163636363636367,4.72,1.24,0.9380046982040194,22,220.559398,0.09974637308358994
GS_1,attack,branch,nf_conntrack_put,2.4362500000000002,3.49,1.09,0.7583428832470366,8,220.559398,0.03627140839403271
GS_1,attack,branch,perf_pmu_nop_txn,1.7531249999999998,2.48,1.14,0.42246449554962606,16,220.559398,0.07254281678806541
GS_1,attack,branch,tcp_rbtree_insert,3.6574999999999998,5.49,2.41,1.3185187395963194,4,220.559398,0.018135704197016354
GS_1,attack,branch,perf_event_update_userpage,1.9455999999999996,4.01,0.99,0.6129993606980484,75,220.559398,0.3400444536940566
GS_1,attack,branch,ip_finish_output2,1.53,1.95,1.03,0.32531303605692075,8,220.559398,0.03627140839403271
GS_1,attack,branch,__calc_delta,1.5466666666666669,2.31,1.02,0.30828308668894167,27,220.559398,0.12241600332986038
GS_1,attack,branch,skb_clone,2.2725,3.27,1.22,0.7572648149755805,8,220.559398,0.03627140839403271
GS_1,attack,branch,_raw_spin_unlock_bh,3.525,11.91,0.0,3.711384031405458,8,220.559398,0.03627140839403271
GS_1,attack,branch,iterate_groups,2.903396226415094,22.58,1.07,3.3857108919445023,53,220.559398,0.24029808061046667
GS_1,attack,branch,sock_sendmsg,1.21,1.21,1.21,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,tcp_schedule_loss_probe.part.0,2.1404,3.37,1.14,0.6377073518994953,25,220.559398,0.11334815123135221
GS_1,attack,branch,migrate_enable,1.5000000000000002,1.67,1.36,0.1416568624058385,4,220.559398,0.018135704197016354
GS_1,attack,branch,inet_recvmsg,1.46,1.46,1.46,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,select_task_rq_fair,6.366,11.72,2.5,4.323740278971437,5,220.559398,0.02266963024627044
GS_1,attack,branch,ip_local_deliver,2.9926666666666666,8.47,1.26,2.149174149251178,15,220.559398,0.06800889073881132
GS_1,attack,branch,update_curr,2.0373076923076923,4.01,0.85,0.6352955630953891,52,220.559398,0.23576415456121258
GS_1,attack,branch,native_write_msr,1.8025,4.26,0.25,1.653453096660786,8,220.559398,0.03627140839403271
GS_1,attack,branch,do_syscall_64,1.3,1.3,1.3,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,schedule_timeout,1.3675000000000002,1.74,0.98,0.3199348892092473,4,220.559398,0.018135704197016354
GS_1,attack,branch,detach_if_pending,1.49,1.83,1.12,0.32010414971797324,4,220.559398,0.018135704197016354
GS_1,attack,branch,sock_recvmsg,1.5890000000000002,2.11,1.21,0.2891539382405157,10,220.559398,0.04533926049254088
GS_1,attack,branch,ip_rcv,1.34,1.34,1.34,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,apparmor_ipv4_postroute,1.2666666666666666,1.44,1.13,0.15821925715074425,3,220.559398,0.013601778147762264
GS_1,attack,branch,cubictcp_acked,1.37,1.43,1.31,0.08485281374238562,2,220.559398,0.009067852098508177
GS_1,attack,branch,tcp_push,1.28,1.43,1.13,0.15000000000000002,3,220.559398,0.013601778147762264
GS_1,attack,branch,read_tsc,2.655,3.84,1.94,0.7073087828421999,8,220.559398,0.03627140839403271
GS_1,attack,branch,cubictcp_cwnd_event,2.492,3.26,1.87,0.548835130070953,5,220.559398,0.02266963024627044
GS_1,attack,branch,_raw_spin_lock_irq,1.985,2.14,1.83,0.21920310216782976,2,220.559398,0.009067852098508177
GS_1,attack,branch,perf_swevent_add,2.5603937007874014,10.79,1.09,1.5515268473523889,127,220.559398,0.5758086082552692
GS_1,attack,branch,syscall_exit_to_user_mode,2.493333333333333,3.55,1.48,0.7229626546371535,9,220.559398,0.040805334443286795
GS_1,attack,branch,ip_send_check,1.758333333333333,2.29,1.26,0.38039015059103026,6,220.559398,0.02720355629552453
GS_1,attack,branch,wait_woken,1.58,1.86,1.25,0.22700954458641898,7,220.559398,0.03173748234477862
GS_1,attack,branch,set_next_buddy,2.7093333333333334,4.56,1.24,1.0168611835775159,15,220.559398,0.06800889073881132
GS_1,attack,branch,put_prev_entity,2.2383333333333333,2.56,1.64,0.377487306629861,6,220.559398,0.02720355629552453
GS_1,attack,branch,slab_free_freelist_hook.constprop,1.40375,1.67,1.1,0.19740730193471273,8,220.559398,0.03627140839403271
GS_1,attack,branch,sock_def_readable,1.37,1.37,1.37,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,update_rq_clock,1.4675,1.74,1.2,0.22881943390659226,4,220.559398,0.018135704197016354
GS_1,attack,branch,ip_finish_output,1.7557142857142856,2.09,1.37,0.26056714699907596,7,220.559398,0.03173748234477862
GS_1,attack,branch,netif_skb_features,1.5983333333333334,2.36,1.16,0.4685900838330519,6,220.559398,0.02720355629552453
GS_1,attack,branch,tcp_queue_rcv,2.2833333333333337,3.55,1.58,0.7526132251473305,6,220.559398,0.02720355629552453
GS_1,attack,branch,rb_next,2.178968253968254,6.04,1.12,0.922244938714291,126,220.559398,0.5712746822060151
GS_1,attack,branch,__skb_datagram_iter,2.1814285714285715,3.22,1.39,0.6546100256750471,7,220.559398,0.03173748234477862
GS_1,attack,branch,xfd_validate_state,2.835,3.05,2.62,0.30405591591021525,2,220.559398,0.009067852098508177
GS_1,attack,branch,ksize,1.6172727272727274,2.4,1.25,0.3787635386119131,11,220.559398,0.04987318654179497
GS_1,attack,branch,perf_swevent_event,1.4500000000000002,1.55,1.35,0.14142135623730948,2,220.559398,0.009067852098508177
GS_1,attack,branch,update_cfs_group,1.4600000000000002,1.73,1.01,0.2895513771336617,6,220.559398,0.02720355629552453
GS_1,attack,branch,__x64_sys_recvfrom,2.2079999999999997,2.79,1.7,0.4480736546595883,5,220.559398,0.02266963024627044
GS_1,attack,branch,tcp_filter,1.47,1.47,1.47,nan,1,220.559398,0.004533926049254088
GS_1,attack,branch,release_sock,1.5104761904761905,2.07,1.07,0.2820722636218632,21,220.559398,0.09521244703433586
GS_1,attack,branch,enqueue_entity,2.3428571428571425,3.18,1.24,0.6508638947766342,7,220.559398,0.03173748234477862
GS_1,attack,branch,skb_release_data,2.5044444444444443,3.8,1.23,0.7620654767470267,18,220.559398,0.08161066888657359
GS_1,attack,branch,lock_timer_base,2.312857142857143,3.48,1.4,0.7070529043316417,7,220.559398,0.03173748234477862
GS_1,attack,branch,perf_event_context_sched_out,1.504,1.77,1.22,0.2565735761920935,5,220.559398,0.02266963024627044
GS_1,attack,branch,cubictcp_cong_avoid,1.6733333333333331,1.91,1.44,0.23501772982763094,3,220.559398,0.013601778147762264
GS_1,attack,branch,__netif_receive_skb_one_core,2.2594444444444446,3.51,1.47,0.580379918392429,18,220.559398,0.08161066888657359
GS_1,attack,branch,skb_clone_tx_timestamp,1.512,1.99,1.0,0.37076947015632233,5,220.559398,0.02266963024627044
GS_1,attack,branch,__sys_sendto,1.7425,1.94,1.58,0.1488567544095105,4,220.559398,0.018135704197016354
GS_1,attack,branch,_raw_spin_lock_bh,1.523684210526316,3.42,0.96,0.6103023888597792,19,220.559398,0.08614459493582767
GS_1,attack,branch,get_nohz_timer_target,1.3875,1.46,1.3,0.07182153808805077,4,220.559398,0.018135704197016354
GS_1,attack,branch,kmalloc_slab,2.013888888888889,4.54,1.1,1.0400347216426105,18,220.559398,0.08161066888657359
GS_1,attack,branch,tcp_chrono_stop,1.3925,1.69,1.1,0.1960138479073062,8,220.559398,0.03627140839403271
