id,condition,type,field,mean_top,max_top,min_top,std_top,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,27.553221,0.036293397421666235
2-39-89-25,normal,branch,merge_sched_in,17.52380952380952,22.9,15.64,2.519415559590113,21,52.198878,0.4023074978738049
2-39-89-25,normal,branch,x86_pmu_enable,8.333333333333334,100.0,0.0,28.867513459481305,12,52.198878,0.22988999878503136
2-39-89-25,normal,branch,ctx_sched_in,9.860499999999998,11.57,8.94,1.2870180753648301,20,52.198878,0.3831499979750523
2-39-89-25,normal,branch,psi_group_change,15.603124999999999,43.57,2.96,11.31146390728479,32,52.198878,0.6130399967600836
2-39-89-25,normal,branch,futex_wake,5.87758620689655,16.52,3.41,3.971469371091416,29,52.198878,0.5555674970638258
2-39-89-25,normal,branch,x86_setup_perfctr,7.661739130434779,12.24,6.45,1.7514556340212177,23,52.198878,0.4406224976713101
2-39-89-25,attack,cycles,syscall_exit_to_user_mode,3.7383333333333337,4.33,3.62,0.28985628622934273,6,27.553221,0.2177603845299974
2-39-89-25,attack,cycles,native_write_msr,0.0,0.0,0.0,nan,1,27.553221,0.036293397421666235
2-39-89-25,normal,cycles,perf_event_groups_first,6.783333333333334,10.2,2.38,2.5688157763361743,24,52.198878,0.4597799975700627
2-39-89-25,normal,cycles,x86_get_event_constraints,7.713333333333334,12.81,3.78,4.626038622118641,3,52.198878,0.05747249969625784
2-39-89-25,normal,cycles,perf_event_update_userpage,4.930967741935485,9.38,3.01,1.5580615196213312,31,52.198878,0.593882496861331
2-39-89-25,normal,cycles,__perf_event_task_sched_in,4.323333333333333,7.48,2.14,1.8343459324783862,9,52.198878,0.17241749908877352
2-39-89-25,normal,cycles,restore_fpregs_from_fpstate,2.4375,3.09,1.85,0.5212405075074908,4,52.198878,0.07662999959501045
2-39-89-25,normal,cycles,memcg_slab_free_hook,2.4566666666666666,2.89,2.13,0.39106691669499916,3,52.198878,0.05747249969625784
2-39-89-25,normal,cycles,merge_sched_in,3.043181818181819,6.9,2.45,0.9610578812341382,22,52.198878,0.42146499777255747
2-39-89-25,normal,cycles,mutex_lock,2.35,2.95,1.86,0.48873987628048793,4,52.198878,0.07662999959501045
2-39-89-25,normal,cycles,rb_next,2.1136,4.55,1.56,0.710861449229032,25,52.198878,0.4789374974688153
2-39-89-25,normal,cycles,psi_group_change,2.9716666666666662,12.1,1.96,2.1448070079728097,24,52.198878,0.4597799975700627
2-39-89-25,normal,cycles,native_write_msr,0.0,0.0,0.0,nan,1,52.198878,0.019157499898752612
2-39-89-25,normal,cycles,event_sched_in,2.489285714285714,3.8,1.89,0.6936022389915317,14,52.198878,0.2682049985825366
2-39-89-25,normal,cycles,memset_erms,4.029696969696969,13.59,1.48,3.6323567460125696,33,52.198878,0.6321974966588362
2-39-89-25,normal,cycles,syscall_exit_to_user_mode,3.6765625,7.98,2.3,1.635169142627147,32,52.198878,0.6130399967600836
2-39-89-25,normal,cycles,visit_groups_merge.constprop.0.is,3.0566666666666666,3.8,2.36,0.7211333672305931,3,52.198878,0.05747249969625784
2-39-89-25,attack,instructions,kfree,9.5175,14.22,7.95,3.1350000000000002,4,27.553221,0.14517358968666494
2-39-89-25,normal,instructions,perf_event_groups_first,2.665238095238096,3.81,2.34,0.40743857264155864,21,52.198878,0.4023074978738049
2-39-89-25,normal,instructions,x86_pmu_event_init,6.993529411764705,8.1,2.98,1.845013350820498,17,52.198878,0.32567749827879444
2-39-89-25,normal,instructions,x86_get_event_constraints,2.7619999999999996,3.37,2.48,0.33708658890714216,20,52.198878,0.3831499979750523
2-39-89-25,normal,instructions,perf_event_update_userpage,6.572857142857144,11.13,3.34,2.7391100396887693,7,52.198878,0.1341024992912683
2-39-89-25,normal,instructions,intel_pmu_enable_all,0.0,0.0,0.0,nan,1,52.198878,0.019157499898752612
2-39-89-25,normal,instructions,perf_event_alloc,3.5085714285714285,5.13,2.13,1.082426726872364,7,52.198878,0.1341024992912683
2-39-89-25,normal,instructions,_raw_spin_lock_irqsave,3.3925,5.64,1.87,1.2605639327584415,8,52.198878,0.1532599991900209
2-39-89-25,normal,instructions,prepare_task_switch,5.398571428571429,8.88,2.89,2.2172688047192097,7,52.198878,0.1341024992912683
2-39-89-25,normal,instructions,memcg_slab_free_hook,3.61,5.64,2.14,1.1884163131383434,7,52.198878,0.1341024992912683
2-39-89-25,normal,instructions,merge_sched_in,3.3722222222222227,5.13,2.13,0.6330350174621728,27,52.198878,0.5172524972663205
2-39-89-25,normal,instructions,syscall_return_via_sysret,2.7619999999999996,3.37,2.48,0.33708658890714216,20,52.198878,0.3831499979750523
2-39-89-25,normal,instructions,psi_group_change,12.30361111111111,15.96,6.93,2.8131813742530793,36,52.198878,0.6896699963550941
2-39-89-25,normal,instructions,calc_timer_values,3.326896551724139,6.39,2.08,0.9264683459563597,29,52.198878,0.5555674970638258
2-39-89-25,normal,instructions,kfree,7.903333333333334,13.33,3.56,2.162111568994905,30,52.198878,0.5747249969625784
2-39-139-28,attack,branch,x86_pmu_enable,0.0,0.0,0.0,nan,1,27.553221,0.036293397421666235
2-39-139-28,normal,branch,merge_sched_in,4.024230769230769,12.8,1.8,2.4842691852163257,26,52.198878,0.49809499736756796
2-39-139-28,normal,branch,x86_pmu_enable,100.0,100.0,100.0,nan,1,52.198878,0.019157499898752612
2-39-139-28,normal,branch,ctx_sched_in,3.4283333333333332,5.53,2.08,1.2288761803642654,6,52.198878,0.11494499939251568
2-39-139-28,normal,branch,psi_group_change,8.670000000000002,25.0,2.41,4.370056445096944,31,52.198878,0.593882496861331
2-39-139-28,normal,branch,futex_wake,3.5066666666666664,4.39,2.76,0.8235492294534269,3,52.198878,0.05747249969625784
